OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,XSP,LSTN_LEG_NAME,LSTN_START_DESCR,LSTN_END_DESCR,LSTN_YEAR,LSTN_ACT,LSTN_SECTION,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
4546,8-N,33.02,37.65,CONT,JAMES H DARCEY MEMORIAL HIGHWAY,NAUGATUCK - WATERBURY TL,BGN OVLP US 44,1967,S.A. 200,,153,WATERTOWN,2024,05d26aaa-5706-489a-b738-26f0649871a9,24320.8868205013
4547,8-S,19.71,23.28,CONT,GENERAL SAMUEL JASKILKA HIGHWAY,STRATFORD - SHELTON TL,BEACON FALLS - NAUGATUCK TL,1979,S.A. 103,,006,BEACON FALLS,2024,027a4286-179d-43bf-a2eb-f8717966675b,18811.9908001138
4548,8-S,55.98,58.31,CONT,JAMES H DARCEY MEMORIAL HIGHWAY,NAUGATUCK - WATERBURY TL,BGN OVLP US 44,1967,S.A. 200,,162,WINCHESTER,2024,f76ceac5-7cf9-4866-8d1c-56eb3176982b,12361.7931478705
4549,83-S,11.76,12.04,CONT,THOMAS WOLFF MEMORIAL HIGHWAY,N JCT RTE 30(HARTFORD TPKE),VERNON - ELLINGTON TL,2011,P.A. 256,48,146,VERNON,2024,36328378-f932-46c1-98e3-18483db1fa21,1422.22261981839
4550,84-E,40.37,47.97,CONT,YANKEE EXPRESSWAY,NEW YORK SL,BGN OP CONN RV,1961,S.A. 166,,131,SOUTHINGTON,2024,1cd97988-0b87-4d63-9897-eb7547ead4f2,40115.9703220462
4551,84-E,92.05,97.9,CONT,WILBUR CROSS HIGHWAY,EB-JCT NB RTE 15(WILBUR CROSS PKWY),MASSACHUSETTS SL,1930,,,145,UNION,2024,320d8630-df0d-4ded-bc75-d1fa57745a6a,30777.314984816
4552,84-W,10.05,10.4,CONT,YANKEE EXPRESSWAY,NEW YORK SL,BGN OP CONN RV,1961,S.A. 166,,018,BROOKFIELD,2024,435e33e0-2105-4d14-9f31-a8b0b414ff45,1866.78410650374
4553,84-W,40.37,47.97,CONT,YANKEE EXPRESSWAY,NEW YORK SL,BGN OP CONN RV,1961,S.A. 166,,131,SOUTHINGTON,2024,bb857baa-5cba-4f02-85ac-9c5b0296800b,40042.7453449951
4554,91-S,21.17,25.83,CONT,SERGEANT GEORGE ROSS DINGWALL MEMORIAL HIGHWAY,MERIDEN - MIDDLETOWN TL,MIDDLETOWN - CROMWELL TL,2001,P.A. 105,26,082,MIDDLETOWN,2024,994785af-2f41-4408-aa5a-d1f579260e12,24594.6006749194
4555,91-S,51.66,58.17,CONT,RICHARD P. HORAN MEMORIAL HIGHWAY,HARTFORD - WINDSOR TL,MASSACHUSETTS SL,1959,S.A. 212,,048,ENFIELD,2024,06069ece-914f-4155-a10f-27a4783f4384,34411.1616982846
4556,95-N,107.77,111.57,CONT,JEWISH WAR VETERANS MEMORIAL HIGHWAY,SB-JCT SB I-395(GOV J D LODGE TPKE),RHODE ISLAND SL,1996,S.A. 10,1,101,NORTH STONINGTON,2024,20c28bc9-478d-4a19-8cec-080f83e73258,20012.5138163165
4557,84-W,51.86,55.99,CONT,YANKEE EXPRESSWAY,NEW YORK SL,BGN OP CONN RV,1961,S.A. 166,,051,FARMINGTON,2024,d5c97180-620e-46ba-a001-d0b3dfd5a282,21973.7322186024
4558,84-W,67.42,72.53,CONT,WILBUR CROSS HIGHWAY,EB-JCT NB RTE 15(WILBUR CROSS PKWY),MASSACHUSETTS SL,1930,,,076,MANCHESTER,2024,bc7dbeff-7f3f-45c2-a763-93272d76164a,27045.9162052241
4559,84-W,90.45,92.05,CONT,WILBUR CROSS HIGHWAY,EB-JCT NB RTE 15(WILBUR CROSS PKWY),MASSACHUSETTS SL,1930,,,003,ASHFORD,2024,4b335607-1191-478c-93f0-b633c0f2dc3f,8409.805213432
4560,84-W,92.05,97.9,CONT,WILBUR CROSS HIGHWAY,EB-JCT NB RTE 15(WILBUR CROSS PKWY),MASSACHUSETTS SL,1930,,,145,UNION,2024,1f749ce5-dcb2-40ac-b7a4-fbea29d4767f,30686.6357749027
4561,85-N,18.02,19.04,CONT,COLCHESTER HAYWARD VOLUNTEER FIRE COMPANY MEMORIAL HIGHWAY,ACC TO WB RTE 2(047),BGN OVLP RTE 16,2019,P.A. 161,19,028,COLCHESTER,2024,c6b8fe5e-096d-40f8-b38a-a33f8f1ba210,5368.58434264912
4562,85-S,1.08,2.2,CONT,GOVERNORS ROAD,US 1(COLMAN ST),ACC TO WB RTE 2(047),1933,S.A. 144,,152,WATERFORD,2024,ea715682-74b0-4093-b7b1-d263d89a4a86,5835.44141768616
4563,9-N,37.95,39.27,CONT,IWO JIMA MEMORIAL EXPRESSWAY,NB-BGN OP RTE 175(CEDAR ST),FARMINGTON - WEST HARTFORD TL,1998,S.A. 511,1,093,NEWINGTON,2024,045b0d50-f244-4f16-93f2-3b088c60570c,6907.17628531271
4564,9-N,39.69,40.85,CONT,IWO JIMA MEMORIAL EXPRESSWAY,NB-BGN OP RTE 175(CEDAR ST),FARMINGTON - WEST HARTFORD TL,1998,S.A. 511,1,051,FARMINGTON,2024,91fd7760-909a-43db-a87c-484c85554e10,6049.83606367279
4565,9-S,11.54,18.79,CONT,CHESTER BOWLES HIGHWAY,JCT NB I-95(GOV J D LODGE TPKE),SB-EXIT FR SB I-91(TR 823),1978,S.A. 77,,060,HADDAM,2024,8bdbc20a-9aba-402f-84ea-c4b8df368693,38052.8072118774
4566,9-S,39.69,40.72,CONT,IWO JIMA MEMORIAL EXPRESSWAY,NB-BGN OP RTE 175(CEDAR ST),FARMINGTON - WEST HARTFORD TL,1998,S.A. 511,1,051,FARMINGTON,2024,14a831e1-aaab-4d6f-8881-886bc96e363a,5048.03924827836
4567,695-E,0.11,4.49,CONT,GOVERNOR JOHN LODGE TURNPIKE,EB-JCT NB I-395(GOV J D LODGE TPKE),EB-JCT US 6 EB(PROVIDENCE PIKE),1986,P.A. 201,,068,KILLINGLY,2024,0c7f59db-4dfa-4390-98a1-ccf0ea71bea4,23239.4831089612
