highway_name,route_no,from_location,to_location,source_url,source_note
SHERIFF BEN J BERGHAGER MEMORIAL HIGHWAY,US 61,.004 mile(s) after CST WARREN BARRETT DR E,1.595 mile(s) before RP US61S TO RTB W,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2011-04-26; years_of_sunset=20 YEARS
GUNNERY SERGEANT KENNETH D WARREN MEMORIAL HIGHWAY,US 61,.002 mile(s) after RT OO E,.002 mile(s) after CRD WHITE LN E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2024-08-28; years_of_sunset=INDEFINITE
1922 SULPHUR SPRINGS RAIL DIASTER MEMORIAL HIGHWAY,US 61,CRD WOLF HOLLOW RD E,RT M E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-08-28; years_of_sunset=INDEFINITE
1922 SULPHUR SPRINGS RAIL DIASTER MEMORIAL HIGHWAY,US 61,RT M E,CRD WOLF HOLLOW RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2007-08-28; years_of_sunset=INDEFINITE
SGT JAMES F COLEMAN MEMORIAL HIGHWAY,US 67,CST RIVERVIEW PLAZA DR E,US 61 N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2021-11-15; years_of_sunset=20 YEARS
ARMY PFC GARY PRATHER MEMORIAL HIGHWAY,US 61,CRD PLATTIN RD E,CRD R-7 SCHOOL RD S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2026-08-28; years_of_sunset=INDEFINITE
ARMY PFC GARY PRATHER MEMORIAL HIGHWAY,US 61,CRD R-7 SCHOOL RD S,CRD PLATTIN RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2026-08-28; years_of_sunset=INDEFINITE
PURPLE HEART TRAIL (I-49),IS 49,IS 435 N,.301 mile(s) after US 71 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-08-28; years_of_sunset=INDEFINITE
ASST. CHIEF CGPD ROGER W FIELDS MEMORIAL HIGHWAY,US 61,.001 mile(s) before CST BLOOMFIELD RD E,IS 55 N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-01-28; years_of_sunset=20 YEARS
ASST. CHIEF CGPD ROGER W FIELDS MEMORIAL HIGHWAY,US 61,IS 55 N,.002 mile(s) after CST BLOOMFIELD ST E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2016-01-28; years_of_sunset=20 YEARS
SGT USAF BILLY JACK HOGAN JR MEMORIAL HIGHWAY,IS 55,.018 mile(s) after CRD HOPPER RD E,.041 mile(s) after US 61 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2019-02-06; years_of_sunset=20 YEARS
TROOPER JAMES FROEMSDORF MEMORIAL HIGHWAY,IS 55,.553 mile(s) before RP IS55N TO MO51 N,.305 mile(s) before RP IS55N TO RTM N,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2002-08-28; years_of_sunset=INDEFINITE
CPO SEAN P SULLIVAN - NAVY,IS 55,PVT MANLEY QUARRY RD E,CST HERKY-HORINE RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=HEROES WAY HIGHWAY; year_established=2019-09-12; years_of_sunset=20 YEARS
USMA CADET THOMAS M SURDYKE MEMORIAL HIGHWAY,IS 55,US 61 S,US 61 S,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2017-08-28; years_of_sunset=INDEFINITE
POLICE OFFICER STEVEN JARVIS MEMORIAL HIGHWAY,IS 55,.005 mile(s) before RP IS55N TO MO141N N,.001 mile(s) before CRD MERAMEC BOTTOM RD E,https://www6.modot.mo.gov/MemorialMap/,MoDOT Memorial Designation Map (MemorialMap API); memorial_type=MEMORIAL HIGHWAY; year_established=2014-08-28; years_of_sunset=INDEFINITE
