highway_name,route_no,from_location,to_location,source_url,source_note
05-13,,Sam Erby,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/7/2005; Lenior Southwest Loop (US 321) to NC 18/US 64 in City of Le resolution from city; committee 6/05; boa
05-19,,Marion Lytle,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/1/2005; NC 801 from Hall Graham Rd. toSherrills Ford Rd`; Rowan Co resolution from county; committee 8/05;b
05-17,,Leo Mercer,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/1/2005; US 410 from US 74 to Rough & Ready Rd near Tabor City; C resolution from county; resolution from to
05-06,,Senator Helen Rhyne Marvin,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/2/2005; US 29/74 from NC 279 to SR 2200 in City of Gastonia; Gasto resolution from city; committee 6/05; boa
05-05,,Senator Bob Warren,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 4/7/2005; I 40 in Samspon Co. to Johnston Co. citizen inquiry;resolution from both counti
05-12,,KIA/MIA/POW Memorial Highway,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/22/2005; US 17 Bypass in Jacksonville from western CL to bridge over committee 6/05; board 7/05; completely
02-05,,Bob Pressley,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 1/6/2005; NC 191 from the southern city limits of Asheville to the Blue Ri resolution from county; committee 8/04;b
03-05,,Deputy John F. Strickland,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 1/6/2005; Nursery Rd (SR 1117) from NC 24/87 to Crestview Place (SR resolution from county; no bridges in are
04-14,,James R. Vannoy,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 7/8/2004; NC 16 from the intersection of US 221/NC 16/NC 88 to Shatle resolution from county; committee 6/04;
04-16,,Jack H. Lucas,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 6/3/2004; US 64 from NC 45 to Newland rd.(S.R. 1126); Washington co letter of resolution from county:committe
04-06,,Dr. Bonnie E. Cone,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 3/4/2004; US 29 from NC 49 to the Cabarrus-Mecklenburg Co. line; Mec resolutions from county and City of Charl
04-05,,Mayor Roger Snyder,,https://connect.ncdot.gov/resources/safety/Teppl/TEPPL%20All%20Documents%20Library/Road_Bridge_Names.pdf,NCDOT Road and Bridge Namings list; date 2/5/2004; NC 24/27 through city limits of Albemarle; Stanly County resolution from City; committee 2/04; bo
