highway_name,route_no,from_location,to_location,source_url,source_note
(SR 66) Lloyd Expressway,IN-62,from the Vanderburgh/Posey Co. Line to Vanderburgh/Warrick Co. Line,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Chief White Eye Trail,IN-62,from Madison to Dillsboro,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"James Pendleton, Sr. Highway",IN-62,from US 421 to Canaan,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
Gary Dudley & Gary Martin Memorial Highway,IN-63,from SR 32 to I-74,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""John R. Wooden Way""",IN-67,from Martinsville to Mooresville,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Phil Sharp Highway""",IN-67,from Madison County line @ Daleville to Muncie bypass,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Senator Joseph F. O'Day Memorial Highway""",IN-69,running through Posey County,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Chris Schenkel Highway""",IN-105,in its entirety,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Bill Monroe Memorial Highway""",IN-135,between Morgantown and Nashville,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Ernest P. Bicknell Highway""",IN-159,from Bicknell to Freelandville,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
1959 Indianapolis 500 Rookie of the Year Bobby Grim,IN-157,outside of Coal city,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""William A. Koch Memorial Highway""",IN-162,from US 231 to overpass at I-64,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
"""Ralph F. Gates Memorial Highway""",IN-205,beginning at SR 5 S. Whitley to SR 327 S. of Garrett,,https://web.archive.org/web/20110515151536/http://www.in.gov/indot/3005.htm,INDOT Memorial Highways and Bridges list (archived 2011); highways-only entries from indiana_memorial_highways.xlsx.
