OBJECTID,Jurisdiction,Dedication Feature Type,Dedication Type,Displayed Sign Text,Dedication Year,Information,Streetview,GlobalID,Search URL
122,Carroll,BRID,Military_Service,SPC Erik W Hayes US Army Iraq Campaign Killed In Action 11-29-04 | Scenic Monocacy River,2017,"Dedicated to United States Army Specialist Erik W. Hayes, Harney and Thurmont native, who was killed in action in Al Miqdadiyah, Iraq on November 29, 2004 while supporting Operation Iraqi Freedom.","https://www.google.com/maps/@39.679207,-77.2339489,3a,75y,246.38h,88.11t/data=!3m6!1e1!3m4!1szN7H49P9_1yunNTx3ArDYw!2e0!7i13312!8i6656",5116b4b8-cecf-409c-b31a-3b145549048e,https://bit.ly/2RsbNGV
123,Cecil,BRID,Military_Service,CPL Dale A. Burger Jr. USMC Iraq Campaign Killed In Action 11-14-04,2017,"Dedicated to United States Marine Corps Corporal Dale Alan Burger, Jr., Maryland native, who was killed in action in Anbar Province, Iraq on November 14, 2004 while supporting Operation Iraqi Freedom.",https://goo.gl/maps/28Jt275YEh42,6cfbb635-18d0-402e-b7e2-8d4642ba46ee,https://bit.ly/2SrJzfy
124,Anne Arundel,ROAD,Military_Service,Bridge Dedicated to SSG Christopher W Swanson United States Army,2017,"Dedicated to United States Army Staff Sergeant Christopher W. Swanson, Arundel native, who was killed in action on July 22, 2006 in Al Ramadi, Iraq while supporting Operation Iraqi Freedom.","https://www.google.com/maps/@38.955721,-76.5521625,3a,75y,228.22h,83.43t/data=!3m6!1e1!3m4!1sImwJLECb0urYg9V4zPMskQ!2e0!7i13312!8i6656",93e70386-48b2-410e-9917-468612f01860,https://bit.ly/2EdQ1np
125,Anne Arundel,BRID,Military_Service,US Naval Academy Bridge,1995,Named in honor of the Naval Academy's 150th anniversary.,"https://www.google.com/maps/@38.990973,-76.4921986,3a,75y,56.53h,92.12t/data=!3m6!1e1!3m4!1sQIXiTb-N8Vzb56zs3BrYOQ!2e0!7i13312!8i6656",49c4de72-5d4c-4387-b55f-082dd267e1c5,https://bit.ly/2zIeoFJ
126,Talbot,BRID,Political_Service,Bridge Dedicated to William J “Duck” Bradley Jr.,1998,"Dedicated to William J. “Duck” Bradley, Jr., Oxford native and lifelong resident who was the MDOT State Highway Administration Project Engineer for several local area bridges.","https://www.google.com/maps/@38.7337337,-76.0877311,3a,56.5y,317.58h,80.2t/data=!3m6!1e1!3m4!1snFu1g0tXQ4Uk2dJtLBvYjQ!2e0!7i13312!8i6656",1aae090f-c93b-4141-854e-f1a4cda678c2,https://bit.ly/2zIYoDE
127,Baltimore,ROAD,Honorary,Brooks Robinson Drive,2007,"Named in honor of Brooks Calbert Robinson, Jr., National Baseball Hame of Fame inductee in 1983, who played his entire 23-year major league  career for the Baltimore Orioles.",https://goo.gl/maps/dDh9iEmxZLM2,7867a7c0-78b8-4224-a215-b4677fe178f8,https://bit.ly/2zIYN98
128,Frederick,BRID,Military_Service,SFC Lance Vogeler US Army (Ranger) Afghanistan Killed In Action 10-1-10,2017,"Dedicated to United States Army Sergeant First Class Lance Herman Vogeler, Frederick native, who was killed in action in Afghanistan on October 1, 2010 while supporting Operation Enduring Freedom.",https://goo.gl/maps/qzZmZjFmoTv,563f309a-2c86-49be-aa88-b2be786ae821,https://bit.ly/2SvBSVK
129,Montgomery,BRID,Military_Service,SGT Alessandro Carbonaro USMC Iraq Campaign Killed In Action 5-10-06,2016,"Dedicated to United States Marine Corps Sergeant Alessandro Carbonaro, Bethesda native, who was killed in action in Anbar Province, Iraq on May 10, 2006 while supporting Operation Iraqi Freedom.","https://www.google.com/maps/@38.9859893,-77.0866781,3a,75y,69.25h,84.38t/data=!3m6!1e1!3m4!1s7e_Nz8GyWe6HzYDvd6A1QA!2e0!7i13312!8i6656",0e2368db-8efd-4b30-b7fa-1ae2d39645ea,https://bit.ly/2GbPKmT
130,Harford,ROAD,Military_Service,This Highway Dedicated to Gold Star Mothers,2006,"Dedicated to the ongoing efforts of the Gold Star Mothers, a national group founded in 1928 dedicated to providing support and resources to mothers who have lost children during military service. ","https://www.google.com/maps/@39.5868815,-76.4698659,3a,75y,92.12h,74.74t/data=!3m6!1e1!3m4!1som2dPrGSd-Z48Zn4IRxJtQ!2e0!7i13312!8i6656",78fc8344-3d0d-471c-93e4-9de43ad7ebcf,https://bit.ly/2T9nCSv
131,Frederick,BRID,Military_Service,Bridge Dedicated to CPL William Kyle Ferrell United States Marine Corps,2016,Dedicated to United States Marine Corps Corporal William Kyle Ferrell who was struck and killed on US-15 while assisting a disabled motorist.,"https://www.google.com/maps/@39.5839886,-77.4350544,3a,36.5y,347.94h,88.77t/data=!3m6!1e1!3m4!1s8m-Pi6Bpvqrh8cer7PAt2Q!2e0!7i13312!8i6656",ba9a1a7e-ecc5-4048-8b8b-ff413d0543e6,https://bit.ly/2RzG4nk
