highway_name,route_no,from_location,to_location,source_url,source_note
Colonel William O'Brien and Sergeant Thomas Baker Memorial Highway,NY 40,"Brunswick, Troy",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Columbia County Veterans’ Memorial Highway,NY 9H,"Claverack, Ghent, Kinderhook",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Corporal Jason Dunham Memorial Highway,NY 19 (Transit Hill Road),NY 19 in the Town of Amity excluding the bridge over I-86,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Corporal Nicholas K. Uzenski Memorial Highway,NY 357,Franklin,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Davenport Veterans of Foreign Wars Memorial Highway,NY 23,Davenport,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Deputy Kurt Wyman Memorial Highway,NY 12B,"Clinton, Marshall",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Detective John M. Falcone Memorial Highway,US 9,City of Poughkeepsie,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Detective Michael Perry Memorial Highway,NY 119,between NY 119/NY100 and NY119/Main Street,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
The Disabled American Veterans Memorial Highway,US 20,"Irving, Buffalo, Lancaster, Town Line, Alden, Darien Center, Alexander, Bethany Center, Avon, Lima, Canandaigua, Geneva, Seneca Falls, Auburn, LaFayette, Pompey Center, Nelson, Morrisville, Sangerfield, Bridgewater, East Winfield, Richfield Springs, Springfield, Carlisle, Esperance, Duanesburg, Albany, East Greenbush, Nassau, New Lebanon Center, New YorkMassachusetts State line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Don and Tony DeMatteo Parkway,Cross County Parkway,Yonkers,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Don Reile Boulevard,NY 28,Herkimer,,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
"Dr. Martin Luther King, Jr. Expressway",Willbrook Expressway,"Staten Island, New York City",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
Dutchess County Veterans Memorial Highway,I 84,"Orange-Dutchess County line, Beacon, Fishkill, Dutchess-Putnam County line",,https://www.dot.ny.gov/divisions/operating/oom/transportation-systems/repository/2017%20tour-bk.pdf,"NYSDOT Official Description of Highway Touring Routes, Bicycle Touring Routes, Scenic Byways, & Commemorative/Memorial Designations in New York State (Jan 2017) — Commemorative/Memorial Highways section."
