highway_name,route_no,from_location,to_location,source_url,source_note
Army SSgt. Charles V. Kettler Memorial Highway,U.S. Route 33,"The portion of U.S. 33, between mile marker 24 and mile marker 29, in Auglaize County",,https://codes.ohio.gov/ohio-revised-code/section/5534.874,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Army Sgt. Herbert C. Linville Memorial Highway,State Route 29,"The portion of SR 29, between mile marker 20 and mile marker 25, in Auglaize County",,https://codes.ohio.gov/ohio-revised-code/section/5534.875,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Army Sgt. Ronnie Blair Memorial Highway,State Route 66,"The portion of SR 66, between mile marker 29 and mile marker 32, in Auglaize County",,https://codes.ohio.gov/ohio-revised-code/section/5534.876,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
American Legion Memorial Highway,Interstate Route 75,"The road known as interstate route seventy-five, running in a southerly direction from the city of Toledo, Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery and Warren to the city of Cincinnati, Hamilton county, shall be known as the ""American Legion Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.24,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Pearl Harbor Memorial Highway,Interstate Route 75,"In addition to the designation in section 5533.24 of the Revised Code, the road known as interstate route seventy-five, running in a southerly direction from the city of Toledo in Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery, Warren, and Butler to the city of Cincinnati in Hamilton county, also shall be known as the ""Pearl Harbor Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.241,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Kenneth Jutte-John Garman Memorial Highway,State Route 66,"That portion of state route sixty-six located in Auglaize county and running in a northerly and southerly direction between state route one hundred nineteen and state route two hundred seventy-four, shall be known as the ""Kenneth Jutte-John Garman memorial highway.",,https://codes.ohio.gov/ohio-revised-code/section/5533.82,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Marine Corps League memorial highway,U.S. Route 33,"That portion of the road known as United States route thirty-three beginning in Willshire, Ohio, and running in a southeasterly and northwesterly direction through the counties of Van Wert, Mercer, Auglaize, Logan, Union, Franklin, Fairfield, Hocking, Athens, and Meigs to the West Virginia border shall be known as the ""Marine Corps League Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.63,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Sgt. Todd M. Bates Memorial Highway,State Route 149,"The northbound and southbound lanes of SR 149, between SR 7 and Tabot Road, in Belmont County",,https://codes.ohio.gov/ohio-revised-code/section/5534.649,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Staff Sgt. Jesse Ault Memorial Highway,Interstate Route 70,"In addition to the designations in sections 5533.09 and 5533.30 of the Revised Code, the road known as interstate route number seventy, running in an easterly and westerly direction within Belmont county between exit number two hundred eight and exit number two hundred thirteen, also shall be known as the ""Staff Sgt. Jesse Ault Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.301,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Lou Groza Highway,State Route 7,"That part of the road known as state route number seven located in Belmont county and included within the municipal limits of Martins Ferry shall be known as ""Lou Groza highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.36,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
William 'Hopalong Cassidy' Boyd Memorial Highway,State Route 800,"The road known as state route number eight hundred, within the community of Hendrysburg in Belmont county only, shall be known as the ""William 'Hopalong Cassidy' Boyd Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.4,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
A.G. Lancione Memorial Highway,State Route 7,"That portion of the road known as state route number seven, located within Belmont county and running in a north and south direction, commencing north of the city of Bellaire at mile marker number fourteen and seven-tenths and extending to mile marker number seventeen and eight-tenths, shall be known as the ""A.G. Lancione Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.54,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
"Sergeant Emile DeLeau, Jr. Medal of Honor Recipient Memorial Highway.",Interstate Route 70,"In addition to any other name prescribed in the Revised Code or otherwise, that portion of interstate route seventy commencing at mile marker two hundred twenty and three - tenths and proceeding in an easterly direction to mile marker two hundred twenty-one and three-tenths, within Belmont county, shall be known as the ""Sergeant Emile DeLeau, Jr. Medal of Honor Recipient Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5534.61,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Ohio Valley Vietnam Veterans Memorial Highway,State Route 7,The northbound and southbound lanes of SR 7 from the southern boundary of the municipal corporation of Martins Ferry to the northern boundary of the Village of Bellaire in Belmont County.,,https://codes.ohio.gov/ohio-revised-code/section/5534.64,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Sergeant Sylvester Antolak Medal of Honor Recipient Memorial Highway.,Interstate Route 70,"In addition to any other name prescribed in the Revised Code or otherwise, that portion of interstate route seventy commencing at mile marker two hundred sixteen and eight- tenths and proceeding in an easterly direction to mile marker two hundred seventeen and eight-tenths, within Belmont county, shall be known as the ""Sergeant Sylvester Antolak Medal of Honor Recipient Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5534.62,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
SSG Garren Ray Goudy Memorial Highway,State Route 7,"The northbound and southbound lanes of SR 7, between the northern border of Powhatan Point, Ohio and Pipe Creek Road, in Belmont County",,https://codes.ohio.gov/ohio-revised-code/section/5534.842,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Byers Brothers Memorial Highway,State Route 800,"The portion of SR 800, running in a northerly and southerly direction, between SR 148 and Mann Ridge Road, in Belmont County",,https://codes.ohio.gov/ohio-revised-code/section/5534.846,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
The Atlantic and Pacific Highway,State Highway 7,"The road known as state highway number seven, extending along the Ohio river between Cincinnati, Ohio, and Gallipolis, Ohio, and through the counties of Hamilton, Clermont, Brown, Adams, Scioto, Lawrence, and Gallia and through the municipal corporations of Cincinnati, New Richmond, Neville, Higginsport, Ripley, Aberdeen, Manchester, Portsmouth, Ironton, Protorville, and Gallipolis is designated as ""the Atlantic and Pacific highway."" In Rome township, Lawrence county, the said Atlantic and Pacific highway shall follow state highway number five hundred and nine instead of number seven.",,https://codes.ohio.gov/ohio-revised-code/section/5533.02,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
Brown County Vietnam Veterans Memorial Highway,U.S. Route 52,"In addition to any other name prescribed i n the Revised Code or otherwise, the portion of the road known as United State route number fifty-two running in an easterly and westerly direction across the entire southern portion of Brown county shall be known as the ""Brown County Vietnam Veterans Memorial Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5534.806,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
George Washington Highway,U.S. Route 50,"The highway known as United States route number fifty and alternate fifty, extending across the entire southern portion of the state through the counties of Washington, Athens, Vinton, Ross, Highland, Brown, Clermont, and Hamilton, and through the municipal corporations of Marietta, Belpre, Athens, Chillicothe, Hillsboro, and Cincinnati shall be known as the ""George Washington Highway.""",,https://codes.ohio.gov/ohio-revised-code/section/5533.1,Ohio Revised Code memorial/named highway designations (ORC 5533/5534).
