route,memorial_status
COUNTY ROAD 96,
W SANTA FE ST,
US-50 (50 BYPASS),
HIGHWAY OF LEGENDS,
S KIPLING PKY,
PITKIN AVE,
DILLON RD,
SAN JUAN DR,
38 RD,
009C,
ROSELAWN RD,
N PARK ST,
E GRAND AVE,
W 2ND ST,
W ASPEN AVE,
WEST AVE,
W BRIDGE ST,
BUCHANAN AVE AND N GARFIELD AVE,
E COUNTY ROAD 48,
E AGATE AVE,
ELKHORN ST,
E UTE AVE,
TOWER RD,
DENVER STREET,
CR-17,
DADE ST,
FLORIDA MEADOWS LN AND SUMMER LN,
161,
COUNTY ROAD 111,
W US-50 AND COROUTE FOR 285B,
E 1ST AVE,
W 6TH AVE | NORTH DR,
N WILSON AVE,
W 1ST ST  AND 13 BYPASS,
OLD US-24,
N POPLAR ST,
E 3RD ST,
085L,
COMMANCHE ST,
SWINK AVE,
DTD^_^NEVADA AVE,
CO-133 AND BOWIE RD,
S MAIN ST AND SAN LUIS AVE,
950 RD,
S GLEN AVE,
W PLATTE AVE,
TERRY LAKE RD,
RAILROAD ST,
I-70 SPUR AND I-70,
US-287 AND US-50 EXIT RAMPS,
N DETROIT ST,
S WASHINGTON AVE,
039A,
CO-209  AND HUGHES AVE,
ELDORADO SPRINGS DR AND MCCASLIN BLVD,
CO-100,
S 5TH ST,
E NORTH ST,
S NEVADA AVE,
N HAVANA ST,
N US-50-BR,
MORRISON RD,
056B,
W 168TH AVE,
CO-57,
W COLORADO ST,
NORTH AVE,
CO-41,
W HALLAM ST,
CO-145 ATROAD 545,
VASQUEZ BLVDAT 72ND,
W RAINBOW BLVD,
WALSEN AVE,
KIT CARSON TRL AND  GODDARD AVE,
TRAIL AVE,
E COOPER AVE,
US-550 AND RED MOUNTAIN PASS,
17TH AVE,
S 2ND ST E,
CO-209,
N 1ST ST,
MAIN ST AND WEST AVE,
CO-59 AND CR-B,
US-40 AND MONROE ST,
BEAR CREEK AVE,
024B,
CO-56,
N WASHINGTON AVE,
JEFFERSON ST,
N LABELLE AVE,
W WONDERVIEW AVE,
S PERRY PARK RD,
CAMINO DEL RIO,
HARRISON AVE,
COUNTY ROAD 407W,
PLATTE AVE,
E KIOWA AVE,
INDIANA AVE,
W 4TH ST,
14TH ST,
BENT AVE,
E 70TH AVE,
S SUMMIT BLVD,
LAKE AVE,
N 12TH ST,
US-285 SERVICE RD,
W BRONTOSAURUS BLVD,
PROSPECT DR,
DOLORES RD,
W 100TH AVE,
THOMAS AVE,
W 5TH ST,
N 96TH ST,
S INTEROCEAN AVE,
RD 6S,
BRADISH AVE,
S RAILROAD ST,
LOMAS DR,
CR-57,
COUNTY ROAD 9Z,
AIRPORT RD,
S 31ST ST,
FAIRFAX ST,
WEIST DR,
SILVER DRIVE,
ON E 7TH ST,
I-70 SPUR,
13TH AVE,
W KIOWA AVE,
S CLEVELAND AVE,
RANDOLPH ST,
E CHESTNUT ST,
S PUEBLO BLVD,
RANNEY ST,
CR-44,
S 1ST AVE,
US-385E,
ELK MOUNTAIN DR,
WANSTED ST,
PEAK TO PEAK SCENIC BYWY,
10TH AVE,
036B,
18TH ST,
W GARDEN OF THE GODS RD,
CR-24,
ASH ST,
ANTLER GULCH RD,
N WATKINS RD,
COUNTY ROAD 2S,
ARROWHEAD ST,
CR-11,
S TEJON ST,
E KANSAS ST,
N RAILWAY ST,
BRONTOSAURUS BLVD,
CORONA PASS RD,
ROUND MOUNTAIN RD,
W 64TH AVE,
GATEWAY DR AND SUMMIT BLVD,
WALNUT ST,
CIRCLE DR,
S KANSAS ST,
COUNTY ROAD 18E,
1ST ST AND  2ND AVE,
W CRANSTON AVE,
VISTA DEL MONTE,
MEADOWS PKY,
I-76-BL,
N PINON DR AND  ARBECAM,
US-50 W,
HORSE SHOE DR,
NEVADA AVE,
COROUTE FOR 096B,
E COUNTY ROAD 4,
TURNER ST,
CO-11,
GRANT AVE AND 5TH STREET,
DALTON AVE,
COUNTY ROAD 165,
WASHINGTON AVE,
W 8TH AVE S HICKORY ST,
GREGS PL,
W ASPEN AVE  AND COULSON STREET,
CO-145-SPUR,
AUSTIN RD,
DEVEREUX RD,
N SAN JUAN AVE,
E ELKHORN AVE,
S CLAY ST,
E WONDERVIEW AVE,
COUNTY ROAD 4654,
16TH AVE,
E 58TH AVE,
S PARK AVE,
BELLYACHE RIDGE RD,
CANNELL AVE,
COROUTE FOR 025A AND 006H,
US-160 AND US-285,
