highway_name,route_no,from_location,to_location,source_url,source_note
John Davison Rockefeller Memorial Highway,70,MP 0.0-58.5,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Lightening Division Memorial Highway,I-78,MP 0.0-58.5,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Trooper Thomas J. Hanratty,I-78,MP 42.7-52.2,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Christopher Columbus Highway,I-80,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Trooper Philip Lomanaco,I-80,,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Jewish War Veterans Memorial Highway,82,MP 3.9 (Salem Rd.)-4.9 (Rt. 439),,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Trooper Bertram T. Zimmerman III Memorial Hwy.,83,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
World War II 94th Infantry Division Highway,94,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Larry Doby Highway,120,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
US Army Parachute Test Platoon,130,Voebel Rd. Intersection (MP 68.13),,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Jersey Girls State Highway,130,MP 70.0-72.9,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Thomas Paine Highway,179,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
James J. Howard Interstate Highway,I-195,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Thomas Paine Highway,202,,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Disabled American Veterans Highway,206,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Van Horne Memorial Highway,206,MP 57-23-63.06,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
World War II Veterans Memorial Highway,208,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Korean War Veterans Memorial Highway,I-287,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Edward J. Patten Memorial Highway,440,MP 2.77-5.15,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Joseph A. LeFante Memorial Highway,440 (was Rt. 169),"MP 18.8-21.9, Bayonne City",,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Martin Luther King Memorial Highway,I-676,Entire Length,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
Washington Victory Trail,Various,9 miles from Wash. Crossing to Trenton,,https://dspace.njstatelib.org/server/api/core/bitstreams/39ed7153-b014-4fc5-9c0f-efe841d406b1/content,"NJDOT Dedicated Highways and Bridges (Oct 25, 2012) – bridges/interchanges excluded."
