Name,Occupation,Race,Sex,Age
"Dr. Martin Luther King, Jr.,",,,,
Florida Arts,,,,
"Cecil G. Costin, Sr.,",,,,
Clifford C. Sims,military personnel,,male,26.0
Elgin Bayless,,,,
George G. Tapper,politician,,male,70.0
J. L. Sharit,,,,
Curry,,,,
George L. Dickenson,,,,
James Riley Paul,,,,
Lonnie Weeks,,,,
M. M. Andrews,botanical collector,,female,
West Florida Fuller Warren,,,,
Buddy Williams,street artist,,male,68.0
Doctor C. H. Ryals,,,,
Hamilton Allan Smith,,,,
Pete Peterson,politician,,male,
Florida‐Georgia,,,,
Lance Corporal Clemon 'Clyde' Alexander,,,,
Lester C. Lawrence,,,,
Richard H. Simpson,politician,,male,63.0
S. D. Clarke,businessperson,,male,85.0
Apalachee,,,male organism,
Kate Ireland,,,,
M. S. Thomas,,,,
Veterans,,,,
Doolittle Raiders,,,,
Emerald Coast,,,,
Florida Arts,,,,
James Gadsden,soldier,,male,70.0
Miracle Strip,,,,
Pat Thomas,boxer,,male,
Senator Greg Evers,,,,
University of West Florida,,,,
Veterans',,,,
Veterans,,,,
William D. 'Cooter' Douglass,,,,
Air Commando,,,,
Brian D. Little,,,,
Brigadier General Thomas 'Mark' Stogsdill,,,,
C. G. Meigs,,,,
Colonel Bud Day,,,,
Cox,,,,
Danny Wuerffel,American football player,,male,
Deputies Skip York and Burt Lopez,,,,
Harbor,,,,
Hayward T. Hayes,,,,
James W. Lee,politician,,male,86.0
Jim Franklin,actor,,male,57.0
Lewis E. Turner,,,,
Okaloosa,,,,
Purple Heart,,,,
Robert L. F. Sikes,politician,,male,88.0
Roger J. Clary,,,male,
William H. 'Bill' Mapoles,,,,
William Nathey,,,,
William T. Marler,,,,
Army Sergeant Daniel L. McCall,,,,
Navarre,,,,
Sheriff Wendell Hall Highway,,,,
Whiting Field,,,,
Williard Norris,,,,
Angus Morrison,lawyer,,male,60.0
Arthur L. Andrews,military personnel,,male,62.0
Gretchen Evans,environmentalist,,female,81.0
Clyde B. Wells,,,,
Henry Koerber,,,,
Olan Rex Ferguson,,,,
The Beach,,,,
Veteran's,,,,
Ben G. Watts,,,,
David J. Cook,,,male,
John Creel,advocate,,male,67.0
Judge Perry Wells,,,,
Lonnie Weeks,,,,
Ralph C. Carter,politician,,male,75.0
Vernon,,,,
Nona and Popa,,,,
Burl Marler Walkway,,,,
Ann Kolb Tree Path,,,,
Commodore Brook,,,,
Dave Turner,political candidate,,male,
Davie,,,,
Deputy Ryan Sequin,,,,
Dwight L. Rogers,politician,,male,68.0
"E. Clay Shaw, Jr.",politician,,male,74.0
Henry E. Kinney Tunnel,,,,
J. D. Butler,,,,
Marina Mile,researcher,,female,
Pembroke Park,,,,
S. C. Fox,,,,
Seminole,,,,
The Barefoot Mailman,,,,
Trinchitella,,,,
Trooper Donald Earl Jennings,,,,
Trooper Stephen G. Rouse,,,,
West Park,,,,
Alma Lee Loy,,,,
James H. Pruitt,politician,,male,85.0
Merrill P. Barber,politician,,male,75.0
Richard Raczkoski,,,,
Robert C. Spillman,,,,
Robert W. Graves,,,,
Wabasso,,,,
A. O. Kanner,,,,
Big John Monahan,,,,
Ernest F. Lyons,,,,
"Evans Crary, Sr.",,,,
Frank A. Wacha,,,,
Gaines,,,,
Palm City,,,,
Dan McCarty,politician,,male,41.0
Military,,,,
Stan Mayfield,politician,,male,53.0
Thomas E. Will,educator,,male,76.0
Ben Sunday,,,,
Carlin White,,,,
Glynn Mayo,,,,
Haven M. Ashe,,,,
Jack L. Saunders,,,,
Jerry Thomas,politician,,male,
L. E. Buie,,,,
Moroso,,,,
North Ocean,,,,
PGA,,,,
Purple Heart,,,,
Richard E. 'Pete' Damon,,,,
Richard Jason Randolph,,,,
Robert A. Harris,university teacher,,male,
Tom and Marian Lewis,,,,
D. H. 'Banty' Saunders,,,,
Peter P. Cobb,,,,
C. Sweet Smith,,,,
Challenger,,,,
Columbia,,,,
Dr. W. J. Creel,,,,
Emory Bennett,,,,
Ernest Kouwen‐Hoven,,,,
Harry T. and Harriette V. Moore,,,,
Hubert Humphrey,politician,Norwegian Americans,male,67.0
Jack I. Korenbilt,,,,
Johnson‐Grogan,,,,
Max K. Rodes Bridge and,,,,
Patrick D. Smith,novelist,,male,87.0
Purple Heart,,,,
Robert W. Graves,,,,
U.S. Army Sergeant Robert Daniel Sanchez,,,,
U.S. Marine Corps Corporal Dustin Schrage,,,,
Willard Peebles,,,,
Deputy Charles 'Chuck' Sease,,,,
Hollands,,,,
Moody,,,,
Veterans,,,,
A. Slater Cox,,,,
Astor,,,,
"Captain Jim Reynolds, Jr., USAF 'Malibu'",,,,
Deputy Wayne Koester,,,,
Johnny C. Treadwell,,,,
Major Claude A. Gnann,,,,
"Private Robert M. McTureous, Jr., U.S.M.C., Medal of Honor",,,,
Richey‐Simpson,,,,
Sgt. Frederico G. Borjas,,,,
Tera Ross,,,,
Abshier,,,,
Alec P. Courtelis,,,,
Angela Simone Santos,,,,
Armand and Perry Lovell,,,,
Bernard Castro,inventor,,male,87.0
Dr. John M. Haile,,,,
James C. Cunningham,,,,
Jane Yongue Wood,,,,
Judge William T. Swigert,,,,
Julius James & Family,,,,
Kenneth H. 'Buddy' MacKay and Jim H. Williams,,,,
Leon B. Thrasher,,,,
"Lt. Colonel Robert T. Heagy, Jr.",,,,
McCall/Custureri,,,,
Mike Stavola,,,,
Nathan Mayo,politician,,male,84.0
"O. D. 'Buddy' Huff, Jr.",,,,
Otis Beckford,,,,
R. N. 'Bert' Dosh,,,,
Rainbow Springs,,,,
