highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,name_norm
Deputy Sheriff Joel B. Wahlenmaier Memorial Highway,168,6,"ACR 164, CH 152, 2010",Intersection of Dragonfly Lane and Tollhouse Road,Ockenden Ranch Road,True,True,True,deputy sheriff joel b wahlenmaier memorial highway
Sergeant Brian Walker Memorial Highway,247,8,"ACR 180, CH 162, 2016",Camp Rock Road (PM 39.598),Allen Way (PM 44.366) ,True,True,True,sergeant brian walker memorial highway
CHP Lieutenant Michael Elvin Walker Memorial Highway,17,5,"SCR 51, CH 110, 2007",Post Mile 5.91,Post Mile 11.78,True,True,True,chp lieutenant michael elvin walker memorial highway
Deputy Sheriff Dennis Wallace Memorial Highway,132,10,"ACR 181, CH 147, 2018",Root Road (Postmile 20.640),McEwen Road (Postmile 25.146),True,True,True,deputy sheriff dennis wallace memorial highway
"James Mitchell ""Mitch"" Waller Memorial Highway",405,12,"ACR 65, CH 169, 2015",SAN DIEGO CREEK EB# 55-451RT - PM 1.525,SAN DIEGO CREEK EB# 55-285 - PM 6.459,True,True,True,james mitchell mitch waller memorial highway
Charles I. Walter Memorial Highway,1,5,"ACR 88, CH 140, 2017",Kansas Avenue (PM 20.890) ,Canet Road (PM 25.580),True,True,True,charles i walter memorial highway
Clarence Ward Memorial Boulevard ,217,5,"AB 2718, CH 1789, 1955",Route 101 in Santa Barbara,UC Santa Barbara Campus,True,False,True,clarence ward memorial boulevard
Patricia Ann Weston Memorial Highway,99,3,"SCR 84, CH 66, 2010",Post mile 36,Post mile 40,True,True,True,patricia ann weston memorial highway
Officer Mark A. White Memorial Highway,65,3,"ACR 179, CH 126, 2004",Sunset Boulevard,Route 193/McBean Park Drive,True,True,True,officer mark a white memorial highway
Bill Whitehurst Memorial Highway,152,6,"SCR 36, CH 71, 2013","JCT RTE 233,NE. BR 41-59 - PM 10.799",JCT RTE 99 - PM 15.622,True,True,True,bill whitehurst memorial highway
"CAL-FIRE Firefighter Matt Will Memorial
Highway",156,4,"ACR 106, CH 38, 2010",Route 25,Route 101,True,True,True,cal fire firefighter matt will memorial highway
Los Angeles County Deputy Sheriff Jack Williams Memorial Highway,605,7,"SCR 67, CH 16, 2020","Alondra Blvd UC# 53-1645 (Postmile
R5.811)",Rosecrans Avenue UC#53-1648 (Postmile R6.814),True,False,True,los angeles county deputy sheriff jack williams memorial highway
Federal Correctional Officer Scott Williams Memorial Highway,1,5,"SCR 28, CH 91, 2011",Santa Lucia Canyon Rd - PM R26.690,California Blvd / Via Vandenberg Rd - PM M29.891,True,True,True,federal correctional officer scott williams memorial highway
John B. Williams Freeway                  ,980,4,"ACR 52, CH 61, 1977",I-880,17th Street,False,True,True,john b williams freeway
Ted Williams Freeway,56,11,"ACR 21, CH 74, 1993",I-5 ,I-15,False,True,True,ted williams freeway
