_id,highway_name,route_no,district,how_named,from_location,to_location,commemorative_keyword,person_named,keep,flag_reason
213,Historic Yosemite Highway,132,10,"ACR 27, CH 69, 1989",Stanislaus/Tuolumne County Line near La Grange,Route 49,False,False,False,no commemorative keyword or person-name heuristic match
215,Hollywood Freeway,"101, 170",7,By Location,I-110 4-level Interchange,I-5,False,False,False,no commemorative keyword or person-name heuristic match
262,Kumeyaay Highway,8,11,"ACR 57, CH 112, 1997 & ACR 156, CH 90, 2002","Nimitz Boulevard in Mission Bay, City of San Diego",San Diego/Imperial County Line,False,False,False,no commemorative keyword or person-name heuristic match
264,Laguna Freeway ,133,12,"By Commission, 11/26/1957",I-5,Laguna Beach,False,False,False,no commemorative keyword or person-name heuristic match
272,Lassen State Highway,299,2,"CH 498, 1911",Shasta/Lassen County Line,Lassen/Modoc County Line,False,False,False,no commemorative keyword or person-name heuristic match
293,Long Beach Freeway ,710,7,By Commission 11/18/1954,Route 1 in Long Beach,I-5 in Commerce,False,False,False,no commemorative keyword or person-name heuristic match
299,MacArthur Freeway,580,4,"ACR 27, CH 156, 1968",Route 238,I-880,False,False,False,no commemorative keyword or person-name heuristic match
310,Marina Freeway ,90,"7, 12","SCR 59, CH 25, 1976",Route 1,Route 91,False,False,False,no commemorative keyword or person-name heuristic match
335,Mojave Freeway,15,8,"ACR 47, CH 117, 1987",I-215 at Devore,Nevada State Line,False,False,False,no commemorative keyword or person-name heuristic match
339,Mono Lake Basin Road,120,9,"CH 704, 1917",Route 395,Mono Mills (Site),False,False,False,no commemorative keyword or person-name heuristic match
342,Moreno Valley Freeway,60,8,"SCR 45, CH 103, 1989",Route 91,I-10,False,False,False,no commemorative keyword or person-name heuristic match
343,Mother Lode Highway,49,"10, 3","CH 839, 1921",Sonora,Auburn,False,False,False,no commemorative keyword or person-name heuristic match
346,Muir Woods Toll Road,,4,"CH 634, 1935",Route 1,Junction of Panoramic Hwy,False,False,False,no commemorative keyword or person-name heuristic match
354,Needles Freeway,40,8,"SCR 1, 1968",I-15,Arizona State Line,False,False,False,no commemorative keyword or person-name heuristic match
359,Nimitz Freeway,880,4,"SCR 23, CH 84, 1958",Route 101,I-80,False,False,False,no commemorative keyword or person-name heuristic match
363,Nomlaki Highway,5,2,"SCR 15, CH 93, 2007",Gyle Road,Flores Avenue,False,False,False,no commemorative keyword or person-name heuristic match
364,Northern Yosemite Highway,120,10,"ACR 27, CH 69, 1989",San Joaquin/Stanislaus County Line near Escalon,Yosemite National Park,False,False,False,no commemorative keyword or person-name heuristic match
365,Norwalk Freeway,105,7,"ACR 46, CH 362, 1969",I-405,Route 605 near the City of Norwalk,False,False,False,no commemorative keyword or person-name heuristic match
370,Ocean Beach Freeway ,8,11,"ACR 117, CH 233, 1968",Sunset Cliffs Boulevard,I-5 in San Diego,False,False,False,no commemorative keyword or person-name heuristic match
372,Ojai Freeway,33,7,By Location,Route 101,Foster Park,False,False,False,no commemorative keyword or person-name heuristic match
376,Ontario Freeway,15,8,"ACR 10, CH 136, 1989","Limonite Avenue exit, south of Route 60 interchange",I-215 at Devore,False,False,False,no commemorative keyword or person-name heuristic match
377,Orange Freeway,57,"12, 7","ACR 17, CH 157, 1969",Route 1,Route 60 near the City of Diamond Bar,False,False,False,no commemorative keyword or person-name heuristic match
386,Pacific Coast Highway,1,"12, 7","AB 1769, CH 1569, 1959, Streets & Highways Code Section 635",San Juan Capistrano,El Rio,False,False,False,no commemorative keyword or person-name heuristic match
395,Pasadena Freeway ,110,7,By Commission 11/18/1954,Route 101 (4-level Structure),Pasadena,False,False,False,no commemorative keyword or person-name heuristic match
406,Petroleum Highway,33,6,"ACR 185, CH 128, 2004",Route 166,Route 46,False,False,False,no commemorative keyword or person-name heuristic match
410,David E. Pierson and Bill Freeman Highway,86,11,"ACR 23, CH 68, 1989",San Felipe Creek Bridge at Route 78,Imperial/Riverside County Line,False,False,False,no commemorative keyword or person-name heuristic match
