State,Island,Source_URL,Raw,Route,Road_or_Description,Parenthetical
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Kaumualii Highway from the Kuhio Highway/Rice Street intersection to Lio Road (Route 50),50,Kaumualii Highway from the Kuhio Highway/Rice Street intersection to Lio Road,Route 50
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Kokee Road from Waimea Canyon Drive to the entrance to Kokee State Park (Route 550),550,Kokee Road from Waimea Canyon Drive to the entrance to Kokee State Park,Route 550
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Kuamoo Road from Kuhio Highway to the end of Route 580 at Mile Marker 6.68 at the beginning of the FORD crossing (Route 580),580,Kuamoo Road from Kuhio Highway to the end of Route 580 at Mile Marker 6.68 at the beginning of the FORD crossing,Route 580
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Kuhio Hwy from the Kaumualii Highway/Rice Street intersection to the beginning of Route 560 in Princeville at Mile Marker 28.11 (Route 56),56,Kuhio Hwy from the Kaumualii Highway/Rice Street intersection to the beginning of Route 560 in Princeville at Mile Marker 28.11,Route 56
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,"Kuhio Highway from the end of Route 56 in Princeville to the end of Route 560 at Mile Marker 10.01, Kee Beach in Haena (Route 560)",560,"Kuhio Highway from the end of Route 56 in Princeville to the end of Route 560 at Mile Marker 10.01, Kee Beach in Haena",Route 560
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Maalo Road from Kuhio Highway to the end of Route 583 at Mile Marker 3.91 (Route 583),583,Maalo Road from Kuhio Highway to the end of Route 583 at Mile Marker 3.91,Route 583
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Nawiliwili Rd from Kaumualii Highway to the Kapule Highway/Rice Street intersection (Route 58),58,Nawiliwili Rd from Kaumualii Highway to the Kapule Highway/Rice Street intersection,Route 58
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Temporary Kapaa Bypass Road (Route 5600),5600,Temporary Kapaa Bypass Road,Route 5600
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Waialo Road from Kaumualii Highway to the end of the State Highway at Port Allen at Mile Marker 0.37 (Route 541),541,Waialo Road from Kaumualii Highway to the end of the State Highway at Port Allen at Mile Marker 0.37,Route 541
Hawaii,Kauai,https://hidot.hawaii.gov/highways/home/kauai/kauai-state-roads-and-highways/,Waimea Canyon Drive from Kaumualii Highway to Kokee Road (Route 550),550,Waimea Canyon Drive from Kaumualii Highway to Kokee Road,Route 550
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Dairy Road from Kahului Airport Access Road to the Haleakala Highway/Keolani Place intersection (Route 380),380,Dairy Road from Kahului Airport Access Road to the Haleakala Highway/Keolani Place intersection,Route 380
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Haleakala Highway from Hana Highway to the Dairy Road/Keolani Place intersection (Route 36A),36A,Haleakala Highway from Hana Highway to the Dairy Road/Keolani Place intersection,Route 36A
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Haleakala Highway from Hana Highway to Kula Highway (Route 37),37,Haleakala Highway from Hana Highway to Kula Highway,Route 37
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Haleakala Highway from Kula Highway to the Haleakala Crater Road/Kekaulike Avenue intersection (Route 377),377,Haleakala Highway from Kula Highway to the Haleakala Crater Road/Kekaulike Avenue intersection,Route 377
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Haleakala Crater Road from the Haleakala Highway/Kekaulike Avenue intersection to the National Park Boundary (Route 378),378,Haleakala Crater Road from the Haleakala Highway/Kekaulike Avenue intersection to the National Park Boundary,Route 378
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Hana Highway from Kaahumanu Avenue to Kaupakalua Road (Route 36),36,Hana Highway from Kaahumanu Avenue to Kaupakalua Road,Route 36
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Hana Highway from Kaupakalua Road to Keawa Place at the centerline of drainage ditch before Hana Bay (Route 360),360,Hana Highway from Kaupakalua Road to Keawa Place at the centerline of drainage ditch before Hana Bay,Route 360
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,High Street from Main Street to Honoapiilani Highway (Route 30),30,High Street from Main Street to Honoapiilani Highway,Route 30
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,"Hobron Avenue from Hana Highway to the gate at Pier 1, Kahului Harbor (Route 32A)",32A,"Hobron Avenue from Hana Highway to the gate at Pier 1, Kahului Harbor",Route 32A
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Honopiilani Highway from High Street to Honokohau Bridge (Route 30),30,Honopiilani Highway from High Street to Honokohau Bridge,Route 30
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kaahumanu Avenue from Hobron Avenue to Kinipopo Place (Route 32),32,Kaahumanu Avenue from Hobron Avenue to Kinipopo Place,Route 32
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kahekili Highway from Honokohau Bridge to 0.35 mile past the Papanahoa Stream Bridge (Route 340),340,Kahekili Highway from Honokohau Bridge to 0.35 mile past the Papanahoa Stream Bridge,Route 340
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kahekili Highway from Waiehu Beach Road to Camp Maluhia (Route 340),340,Kahekili Highway from Waiehu Beach Road to Camp Maluhia,Route 340
