State,Island,Source_URL,Raw,Route,Road_or_Description,Parenthetical
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kahului Airport Access Road from Puunene Avenue to Hana Highway (Route 3800),3800,Kahului Airport Access Road from Puunene Avenue to Hana Highway,Route 3800
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kahului Beach Road from Kaahumanu Avenue to Waiehu Beach Road (Route 3400),3400,Kahului Beach Road from Kaahumanu Avenue to Waiehu Beach Road,Route 3400
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kekaulike Avenue from the Haleakala Crater Road/Haleakala Highway intersection to Kula Highway (Route 377),377,Kekaulike Avenue from the Haleakala Crater Road/Haleakala Highway intersection to Kula Highway,Route 377
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Keolani Place from Dairy Road to about 400’ west of intersection with Palapala Drive (Kahului Airport boundary) (Route 36A),36A,Keolani Place from Dairy Road to about 400’ west of intersection with Palapala Drive (Kahului Airport boundary),Route 36A
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kuihelani Highway from Honoapiilani Highway to the Mokulele Highway/Kahului Airport Access Road/Puunene Avenue intersection (Route 380),380,Kuihelani Highway from Honoapiilani Highway to the Mokulele Highway/Kahului Airport Access Road/Puunene Avenue intersection,Route 380
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Kula Highway from Haleakala Highway to Piilani Highway (Route 37),37,Kula Highway from Haleakala Highway to Piilani Highway,Route 37
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Lahaina Bypass from Hokiokio Place to Keawe Street (Route 3000),3000,Lahaina Bypass from Hokiokio Place to Keawe Street,Route 3000
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Main Street from the High Street intersection to Kinipopo Place (Route 32),32,Main Street from the High Street intersection to Kinipopo Place,Route 32
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Mokulele Highway from the Kuihelani Highway/Kahului Airport Access Road intersection to the North Kihei Road/Piilani Highway intersection (Route 311),311,Mokulele Highway from the Kuihelani Highway/Kahului Airport Access Road intersection to the North Kihei Road/Piilani Highway intersection,Route 311
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,North Kihei Road from Honopiilani Highway to the Piilani Highway/Mokulele Highway intersection (Route 310),310,North Kihei Road from Honopiilani Highway to the Piilani Highway/Mokulele Highway intersection,Route 310
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Piilani Highway from the Mokulele Highway/North Kihei Road intersection to Wailea Ike Drive (Route 31),31,Piilani Highway from the Mokulele Highway/North Kihei Road intersection to Wailea Ike Drive,Route 31
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Puunene Avenue from Kaahumanu Avenue to the Kuihelani Highway/Kahului Airport Access Road intersection (Route 3500),3500,Puunene Avenue from Kaahumanu Avenue to the Kuihelani Highway/Kahului Airport Access Road intersection,Route 3500
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Waiehu Beach Road from Kahului Beach Road to Kahekili Highway (Route 3400),3400,Waiehu Beach Road from Kahului Beach Road to Kahekili Highway,Route 3400
Hawaii,Maui,https://hidot.hawaii.gov/highways/home/maui/maui-state-roads-and-highways/,Wharf Street from Kaahumanu Avenue to South boundary of Harbors Division lot (Route 32B),32B,Wharf Street from Kaahumanu Avenue to South boundary of Harbors Division lot,Route 32B
Hawaii,Molokai,https://hidot.hawaii.gov/highways/home/maui/state-roads-and-highways/,Farrington Avenue from Puupeelua Avenue to Kalae Highway (Route 480),480,Farrington Avenue from Puupeelua Avenue to Kalae Highway,Route 480
Hawaii,Molokai,https://hidot.hawaii.gov/highways/home/maui/state-roads-and-highways/,Kalae Highway from Maunaloa Highway to Kalaupapa Lookout (Route 470),470,Kalae Highway from Maunaloa Highway to Kalaupapa Lookout,Route 470
Hawaii,Molokai,https://hidot.hawaii.gov/highways/home/maui/state-roads-and-highways/,Kamehameha V Highway from the Ala Malama/Maunaloa Highway/Kaunakakai Place intersection to the end of pavement in Halawa Valley (Route 450),450,Kamehameha V Highway from the Ala Malama/Maunaloa Highway/Kaunakakai Place intersection to the end of pavement in Halawa Valley,Route 450
Hawaii,Molokai,https://hidot.hawaii.gov/highways/home/maui/state-roads-and-highways/,Kaunakakai Place from Kaunakakai Wharf to the Ala Malama/Maunaloa Highway/Kamehameha V Highway intersection (Route 460),460,Kaunakakai Place from Kaunakakai Wharf to the Ala Malama/Maunaloa Highway/Kamehameha V Highway intersection,Route 460
Hawaii,Molokai,https://hidot.hawaii.gov/highways/home/maui/state-roads-and-highways/,Maunaloa Highway from the Ala Malama/Kamehameha V Highway/Kaunakakai Place intersection to Maunaloa Village (Route 460),460,Maunaloa Highway from the Ala Malama/Kamehameha V Highway/Kaunakakai Place intersection to Maunaloa Village,Route 460
Hawaii,Molokai,https://hidot.hawaii.gov/highways/home/maui/state-roads-and-highways/,Puupeelua Avenue from Maunaloa Highway to Farrington Avenue (Route 480),480,Puupeelua Avenue from Maunaloa Highway to Farrington Avenue,Route 480
Hawaii,Lanai,https://hidot.hawaii.gov/highways/home/maui/lanai-state-roads-and-highways/,Kaumalapau Highway from Kaumalapau Harbor to Manele Road (Route 440),440,Kaumalapau Highway from Kaumalapau Harbor to Manele Road,Route 440
Hawaii,Lanai,https://hidot.hawaii.gov/highways/home/maui/lanai-state-roads-and-highways/,Manele Road from Kaumalapau Highway to the entrance of Hulopoe Beach Park near Manele Bay (Route 440),440,Manele Road from Kaumalapau Highway to the entrance of Hulopoe Beach Park near Manele Bay,Route 440
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 11, Kanoelehua Avenue, Mamalahoa Highway, Hawaii Belt Road, Volcano Road, Kuakini Highway to Queen Kaahumanu Extension in Kailua Kona",11,"Kanoelehua Avenue, Mamalahoa Highway, Hawaii Belt Road, Volcano Road, Kuakini Highway to Queen Kaahumanu Extension in Kailua Kona",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 19, Kuhio Street, Kalanianaole Street, Kamehameha Avenue, Pauahi Street, Bayfront Highway, Mamalahoa Highway to Lindsey Road, Hawaii Belt Road, Kawaihae Road, Queen Kaahumanu Highway",19,"Kuhio Street, Kalanianaole Street, Kamehameha Avenue, Pauahi Street, Bayfront Highway, Mamalahoa Highway to Lindsey Road, Hawaii Belt Road, Kawaihae Road, Queen Kaahumanu Highway",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 130, Keaau-Pahoa Road, Pahoa-Kalapana Road, Kaimu-Chain of Craters Road",130,"Keaau-Pahoa Road, Pahoa-Kalapana Road, Kaimu-Chain of Craters Road",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route139, Old Keaau-Pahoa Road",139,Old Keaau-Pahoa Road,
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 190, Mamalahoa Highway, Palani Road",190,"Mamalahoa Highway, Palani Road",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 197, Kealakehe Parkway",197,Kealakehe Parkway,
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 200, Saddle Road, Daniel K. Inouye Highway, Hilo Urban Boundary to Mamalahoa Highway (Route 19)",200,"Saddle Road, Daniel K. Inouye Highway, Hilo Urban Boundary to Mamalahoa Highway (Route 19)",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 210, Mauna Kea Observatory Access Road",210,Mauna Kea Observatory Access Road,
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 220, Honomu Road, Mamalahoa Highway, Akaka Falls Road",220,"Honomu Road, Mamalahoa Highway, Akaka Falls Road",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 250, Kohala Mountain Road, Hawi Road",250,"Kohala Mountain Road, Hawi Road",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 270, Kawaihae Road, Akoni Pule Highway",270,"Kawaihae Road, Akoni Pule Highway",
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route1370, Kalanianaole Street",1370,Kalanianaole Street,
Hawaii,Big Island,https://hidot.hawaii.gov/highways/home/hawaii/state-roads-and-highways/,"Route 2000, Puainako Street",2000,Puainako Street,
