route,name,ref,fclass,code,osm_id,memorial_status,oneway,maxspeed,layer,bridge,tunnel
AL 17,Memorial Parkway,AL 17,primary,5113,7951539,Possible Memorial Designation,B,48,0,F,F
Martin Luther King Jr Parkway North,Martin Luther King Jr Parkway North,,trunk,5112,7953240,Possible Memorial Designation,F,72,0,F,F
US 431,Martin Luther King Jr Parkway North,US 431,trunk,5112,7953243,Possible Memorial Designation,F,72,0,F,F
US 431,Martin Luther King Jr Parkway South,US 431,trunk,5112,7953310,Possible Memorial Designation,F,104,0,F,F
Veteran Road,Veteran Road,,service,5141,8607354,Possible Memorial Designation,B,0,0,F,F
Ira Hanks Memorial,Ira Hanks Memorial,,residential,5122,8624091,Possible Memorial Designation,B,0,0,F,F
Ira Hanks Memorial Drive,Ira Hanks Memorial Drive,,residential,5122,8624346,Possible Memorial Designation,B,0,0,F,F
Martin Luther King Jr Circle,Martin Luther King Jr Circle,,residential,5122,8828323,Possible Memorial Designation,B,0,0,F,F
Dr Martin Luther King Avenue,Dr Martin Luther King Avenue,,residential,5122,8828569,Possible Memorial Designation,B,0,0,F,F
Stephen J White Memorial Boulevard,Stephen J White Memorial Boulevard,,residential,5122,8840393,Possible Memorial Designation,B,0,0,F,F
Mlk,Mlk,,residential,5122,8843397,Possible Memorial Designation,B,0,0,F,F
Mlk Boulevard,Mlk Boulevard,,residential,5122,8860797,Possible Memorial Designation,B,0,0,F,F
Martin Luther King Jr Boulevard,Martin Luther King Jr Boulevard,,secondary,5114,8863362,Possible Memorial Designation,F,0,0,F,F
AL 215,Veterans Memorial Parkway,AL 215,primary,5113,8866528,Possible Memorial Designation,F,72,0,F,F
CR 44,Martin Luther King Jr Boulevard,CR 44,secondary,5114,8885816,Possible Memorial Designation,B,0,0,F,F
CR 47,Martin Luther King Jr Boulevard,CR 47,secondary,5114,8885826,Possible Memorial Designation,B,56,0,F,F
"Dr Martin Luther King, Jr. Expressway","Dr Martin Luther King, Jr. Expressway",,trunk,5112,36754043,Possible Memorial Designation,F,0,0,F,F
I 85,Pearl Harbor Memorial Highway,I 85,motorway,5111,38675403,Possible Memorial Designation,F,112,1,T,F
US 29;US 82,Martin Luther King Boulevard,US 29;US 82,primary,5113,51979733,Possible Memorial Designation,B,48,0,F,F
Veteran's Park Greenway,Veteran's Park Greenway,,cycleway,5152,59588986,Possible Memorial Designation,B,0,0,F,F
US 31,Memorial Drive,US 31,primary,5113,89633166,Possible Memorial Designation,F,88,0,F,F
Richard L. Platt Memorial Levee Trail,Richard L. Platt Memorial Levee Trail,,footway,5153,98470820,Possible Memorial Designation,B,0,0,F,F
US 11,Doctor Martin Luther King Junior Highway,US 11,primary,5113,106664460,Possible Memorial Designation,B,88,1,T,F
US 431,Veterans Memorial Parkway,US 431,trunk,5112,107605424,Possible Memorial Designation,F,104,0,F,F
AL 14;AL 17,Memorial Parkway,AL 14;AL 17,primary,5113,107701782,Possible Memorial Designation,B,48,0,F,F
AL 21,Thomas Bible Memorial Highway,AL 21,trunk,5112,107723728,Possible Memorial Designation,B,72,0,F,F
AL 193,Victor Birch Memorial Bridge,AL 193,secondary,5114,117341327,Possible Memorial Designation,B,88,1,T,F
US 11,Dr Martin Luther King Jr Highway,US 11,primary,5113,119882009,Possible Memorial Designation,B,88,0,F,F
Memorial Parkway Southwest North Frontage Road,Memorial Parkway Southwest North Frontage Road,,secondary,5114,164938275,Possible Memorial Designation,F,64,0,F,F
Memorial Parkway Southwest South Frontage Road,Memorial Parkway Southwest South Frontage Road,,secondary,5114,164938276,Possible Memorial Designation,F,64,0,F,F
Veterans Circle,Veterans Circle,,unclassified,5121,204418624,Possible Memorial Designation,B,0,0,F,F
Memorial Hospital Drive,Memorial Hospital Drive,,service,5141,220077319,Possible Memorial Designation,B,0,0,F,F
AL 188,Rabby Memorial Bridge,AL 188,secondary,5114,230071928,Possible Memorial Designation,B,0,1,T,F
Fallen Leaf Drive,Fallen Leaf Drive,,residential,5122,241714069,Possible Memorial Designation,B,0,0,F,F
Veterans Park Trail,Veterans Park Trail,,footway,5153,356356000,Possible Memorial Designation,B,0,0,F,F
Veterans Court,Veterans Court,,residential,5122,396511512,Possible Memorial Designation,B,0,0,F,F
Alabama Koream War Memorial,Alabama Koream War Memorial,,pedestrian,5124,547446082,Possible Memorial Designation,B,0,0,F,F
MLK Jr. Trail,MLK Jr. Trail,,cycleway,5152,1250630237,Possible Memorial Designation,B,0,0,F,F
Memorial Trail,Memorial Trail,,footway,5153,1256743462,Possible Memorial Designation,B,0,0,F,F
Fallen Oak Trail,Fallen Oak Trail,,path,5154,1367956863,Possible Memorial Designation,B,0,0,F,F
