GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS
48221,"Hood County, Texas",46.3,86802,281300,11.2,0.4,1.6,0.2,86.7,81.1,1.0,1.4,32.4,92.3,6.2,8.2,48,221
48223,"Hopkins County, Texas",39.6,64725,193200,16.7,0.1,1.2,0.1,81.8,71.2,7.1,1.7,20.0,84.6,4.5,12.3,48,223
48225,"Houston County, Texas",44.0,54563,155100,12.1,0.3,1.6,0.0,86.0,58.6,21.5,3.2,15.5,82.7,6.6,16.3,48,225
48227,"Howard County, Texas",37.0,71457,150300,38.4,0.7,7.2,0.6,53.1,44.0,4.9,1.6,15.3,81.2,5.0,15.1,48,227
48229,"Hudspeth County, Texas",33.2,39336,57400,56.6,1.0,7.9,0.0,34.5,29.9,0.8,5.1,12.4,59.9,11.9,19.0,48,229
48231,"Hunt County, Texas",37.2,70112,210900,17.6,0.5,2.1,0.3,79.4,66.5,7.7,2.2,21.9,86.3,5.5,12.4,48,231
48233,"Hutchinson County, Texas",38.1,65470,102200,21.9,0.1,2.4,0.1,75.5,68.1,2.4,5.0,16.0,85.8,2.3,11.6,48,233
48235,"Irion County, Texas",50.5,58125,152600,29.9,0.0,0.0,0.0,70.1,69.0,0.0,0.3,22.1,89.2,0.6,7.5,48,235
48237,"Jack County, Texas",41.3,65693,174800,15.9,0.3,1.7,0.5,81.6,75.6,3.4,2.0,15.6,80.2,9.8,13.5,48,237
48239,"Jackson County, Texas",42.1,61752,175500,30.4,0.0,2.4,0.0,67.2,57.7,5.9,1.1,15.9,83.0,5.5,14.1,48,239
48241,"Jasper County, Texas",42.5,49919,125900,5.8,0.0,1.0,0.0,93.1,73.7,15.4,1.1,12.6,88.3,14.0,22.2,48,241
48243,"Jeff Davis County, Texas",58.7,32625,234400,30.2,0.0,0.9,0.0,69.0,66.7,0.6,2.2,30.4,86.7,0.0,31.2,48,243
48245,"Jefferson County, Texas",37.1,59934,159600,18.6,0.4,4.2,0.3,76.5,37.4,32.9,1.3,19.4,84.9,5.5,18.8,48,245
48247,"Jim Hogg County, Texas",25.0,42230,125600,76.4,0.0,1.9,0.0,21.7,21.3,0.1,0.0,19.0,78.8,8.4,31.4,48,247
48249,"Jim Wells County, Texas",35.5,47492,104800,72.8,0.1,6.5,0.0,20.6,18.5,0.6,1.3,15.2,79.2,5.6,23.2,48,249
48251,"Johnson County, Texas",37.2,81826,254600,21.8,0.6,2.1,0.1,75.4,66.3,4.7,1.8,23.5,86.9,3.6,10.7,48,251
48253,"Jones County, Texas",39.0,63472,92700,24.7,0.4,3.1,0.2,71.6,56.3,10.3,4.1,11.2,81.1,4.9,12.6,48,253
48255,"Karnes County, Texas",37.1,59103,136900,47.7,0.6,4.2,0.5,46.9,35.1,6.9,3.8,16.0,77.2,4.6,21.3,48,255
48257,"Kaufman County, Texas",34.2,88606,290800,22.6,0.8,2.6,0.4,73.6,52.0,16.7,2.2,25.3,86.3,4.8,9.7,48,257
48259,"Kendall County, Texas",43.1,110498,489800,19.2,0.2,4.0,0.2,76.3,71.0,0.8,1.9,49.1,93.6,4.7,5.1,48,259
48261,"Kenedy County, Texas",65.5,-666666666,-666666666,90.4,0.0,0.0,0.0,9.6,3.8,0.0,1.9,10.6,46.8,0.0,5.9,48,261
48263,"Kent County, Texas",57.6,71420,108900,9.8,1.5,0.6,0.0,88.2,83.4,0.8,2.6,26.9,89.9,8.8,8.4,48,263
48265,"Kerr County, Texas",48.6,67927,285100,22.7,0.5,3.3,0.0,73.6,67.9,1.5,2.4,31.2,90.3,2.9,11.7,48,265
48267,"Kimble County, Texas",50.3,65703,173100,24.2,0.3,1.1,0.0,74.4,71.0,1.9,1.8,25.6,83.1,1.1,15.0,48,267
48269,"King County, Texas",49.1,70192,-666666666,25.9,0.0,0.0,0.0,74.1,67.2,0.0,6.9,36.4,79.9,0.0,15.3,48,269
48271,"Kinney County, Texas",50.4,66341,88500,43.9,1.2,8.0,0.3,46.6,44.6,0.1,3.7,19.5,88.7,1.6,11.3,48,271
48273,"Kleberg County, Texas",29.3,57612,152200,65.5,0.3,5.4,0.1,28.7,21.0,3.2,1.6,23.7,83.8,7.6,28.8,48,273
48275,"Knox County, Texas",40.5,56304,66800,30.8,0.0,2.9,0.2,66.2,57.1,3.0,1.1,15.6,85.2,1.3,11.4,48,275
48283,"La Salle County, Texas",38.8,55469,101000,73.5,0.6,6.9,0.0,19.0,13.7,3.5,1.3,8.1,63.9,2.5,22.0,48,283
48277,"Lamar County, Texas",40.0,61122,175500,8.4,0.1,0.8,0.0,90.8,71.8,12.4,2.7,20.6,88.0,3.9,18.7,48,277
48279,"Lamb County, Texas",36.6,56997,76600,53.8,0.0,3.8,0.0,42.4,36.8,2.7,2.1,14.3,77.4,2.9,15.9,48,279
48281,"Lampasas County, Texas",43.9,76919,236000,13.4,3.2,3.1,0.3,79.9,70.2,3.7,3.0,21.6,90.3,4.7,9.2,48,281
48285,"Lavaca County, Texas",43.1,61768,220900,18.2,0.1,1.1,0.4,80.2,71.7,4.0,2.3,20.9,87.1,3.0,9.4,48,285
48287,"Lee County, Texas",41.4,66000,247500,24.7,0.0,1.4,0.2,73.8,60.2,10.4,2.6,18.7,83.2,5.3,12.2,48,287
48289,"Leon County, Texas",44.3,59975,177400,13.9,0.0,2.2,0.0,83.9,73.0,7.3,1.8,17.1,86.3,3.9,14.4,48,289
48291,"Liberty County, Texas",33.3,64773,167100,31.2,0.1,5.4,0.2,63.1,51.8,8.0,1.8,11.2,78.1,7.1,17.7,48,291
48293,"Limestone County, Texas",42.0,58109,154400,21.0,0.3,1.8,0.0,76.9,55.5,17.0,1.0,19.1,85.6,3.2,19.4,48,293
48295,"Lipscomb County, Texas",37.4,71442,128400,29.4,1.3,6.2,0.0,63.1,56.3,0.4,4.3,25.4,83.5,7.4,13.6,48,295
48297,"Live Oak County, Texas",38.6,53869,142300,33.7,0.0,8.3,0.1,57.9,48.5,2.1,2.1,13.8,76.9,5.4,17.2,48,297
48299,"Llano County, Texas",57.5,65636,322300,10.2,0.1,1.9,0.5,87.3,83.2,1.0,1.2,33.1,91.9,5.3,11.7,48,299
48301,"Loving County, Texas",68.9,51087,-666666666,0.0,0.0,0.0,0.0,100.0,90.7,0.0,0.0,0.0,94.2,0.0,9.3,48,301
48303,"Lubbock County, Texas",31.7,63367,199600,29.0,0.5,6.1,0.1,64.2,52.1,6.7,1.7,33.3,88.8,4.7,17.2,48,303
48305,"Lynn County, Texas",37.2,57411,130800,35.4,0.0,5.6,0.5,58.4,54.4,1.6,3.7,24.3,82.8,4.3,17.5,48,305
48313,"Madison County, Texas",35.8,67128,149100,21.6,0.3,3.6,0.4,74.1,52.6,15.4,3.6,14.5,80.2,5.9,13.4,48,313
48315,"Marion County, Texas",50.6,47447,110500,2.7,0.0,1.9,0.0,95.5,70.3,21.6,2.1,16.0,86.6,8.4,18.4,48,315
48317,"Martin County, Texas",37.2,77083,162200,42.8,0.0,2.8,0.0,54.4,48.0,1.2,3.6,17.8,83.8,6.3,8.1,48,317
48319,"Mason County, Texas",46.5,68750,274600,20.9,0.0,0.0,0.0,79.1,77.5,0.1,0.6,40.1,84.3,2.3,6.4,48,319
48321,"Matagorda County, Texas",37.5,55174,162200,37.7,1.2,4.2,0.1,56.8,42.1,10.1,1.1,22.8,82.7,6.9,21.8,48,321
48323,"Maverick County, Texas",30.2,51270,151500,90.7,1.2,2.9,0.0,5.1,2.8,0.2,1.9,15.3,67.7,7.6,22.6,48,323
48307,"McCulloch County, Texas",47.1,51919,104400,27.8,0.0,3.0,0.0,69.3,63.6,0.8,5.5,19.6,82.8,10.5,14.6,48,307
48309,"McLennan County, Texas",34.0,63888,219200,23.5,0.6,2.3,0.2,73.4,54.7,13.6,1.3,27.8,88.1,4.5,17.1,48,309
48311,"McMullen County, Texas",32.6,45833,108800,42.7,0.0,11.7,0.0,45.6,44.6,0.0,3.2,15.0,88.4,0.0,9.1,48,311
48325,"Medina County, Texas",39.6,73462,220000,44.6,0.8,5.6,0.1,48.9,42.3,2.8,2.3,22.2,86.0,3.2,11.3,48,325
48327,"Menard County, Texas",58.0,48191,105300,26.3,0.8,0.9,0.0,72.0,68.4,0.4,5.2,22.9,76.8,14.4,21.1,48,327
48329,"Midland County, Texas",32.6,93984,293000,39.2,0.6,3.8,1.2,55.2,44.0,6.4,2.0,30.9,86.2,3.7,10.6,48,329
48331,"Milam County, Texas",41.6,59076,168900,22.6,0.7,2.3,0.0,74.4,62.1,9.3,1.7,19.5,86.7,5.4,15.8,48,331
48333,"Mills County, Texas",52.2,64494,200200,15.9,0.0,3.0,0.0,81.1,76.0,0.6,3.2,28.1,89.5,3.9,7.7,48,333
48335,"Mitchell County, Texas",36.9,56033,85700,34.7,0.3,3.7,0.0,61.3,46.9,5.7,7.1,13.9,83.3,4.7,13.2,48,335
48337,"Montague County, Texas",44.0,62818,189400,11.5,0.1,0.3,0.0,88.0,84.1,0.0,3.1,17.8,86.9,5.3,13.5,48,337
48339,"Montgomery County, Texas",37.2,97266,317500,19.3,0.8,6.6,0.5,72.9,60.3,5.7,1.5,37.9,90.2,4.6,9.3,48,339
48341,"Moore County, Texas",30.6,61325,135400,51.5,0.0,6.0,2.5,40.0,29.0,4.6,3.6,12.0,70.2,2.2,15.3,48,341
48343,"Morris County, Texas",42.4,55082,110200,9.5,0.0,1.2,0.0,89.3,62.7,18.4,5.4,15.5,87.1,7.3,16.9,48,343
48345,"Motley County, Texas",51.4,62857,81100,4.5,0.4,3.2,0.0,91.9,83.3,2.6,3.2,22.0,85.7,1.0,9.7,48,345
48347,"Nacogdoches County, Texas",31.8,51528,158200,18.6,0.4,2.3,0.0,78.7,57.8,17.0,1.6,26.5,85.2,7.2,22.3,48,347
48349,"Navarro County, Texas",37.4,59310,159900,28.9,0.2,2.2,0.0,68.7,50.8,10.6,1.6,17.1,79.4,3.8,16.8,48,349
