Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Katcho Achadjian,politician,male,,1951-06-02,2020-03-05,https://en.wikipedia.org/wiki/Katcho_Achadjian
Keith Boyer,,,,,,
Kenneth L Maddy,,,,,,
Kent D Pursel,,,,,,
Kent Hintergardt,,,,,,
Kern County Korean War,,,,,,
Kern County Sheriff William Joe Hudnall Jr,,,,,,
Kevin Michael Burrell And James Wayne Macdonald,,,,,,
Kevin R Ebbert So1 Navy Seal,,,,,,
Kevin Tonn,,,,,,
Kevin Woyjeck,,,,,,
Kings County Sheriff Allen Thomas Sharra,,,,,,
Korean War,,,,,,https://en.wikipedia.org/wiki/Korean_War
La County Sheriff David Powell,,,,,,
La County Sheriff Maria Cecilia Rosa,,,,,,
La Habra Police Michael Anthony Osornio,,,,,,
Lance Corporal Christian Vasquez,,,,,,
Lance Corporal Javier Olvera,,,,,,
Larry Chimbole,politician,male,,1919-05-22,2015-11-10,https://en.wikipedia.org/wiki/Larry_Chimbole
Lassen State,,,,,,
Leo Stanley Hulett,,,,,,
Leonard B Larry Estes And William R Bill Hunter,,,,,,
Lewis E Platt,,,,,,
Linus F Claeys,,,,,,
Long Beach,,,,,,"https://en.wikipedia.org/wiki/Long_Beach,_California"
Long Beach Fire David Rosa,,,,,,
Loren D Scruggs,,,,,,
Los Angeles County Sheriff Jack Williams,,,,,,
Los Angeles County Sheriff Jerry Ortiz,,,,,,
Los Angeles County Sheriff Juan Abel Escalante,,,,,,
Los Angeles County Sheriffs Didier M Hurdle,,,,,,
Los Angeles County Sheriffs Shayne Daniel York,,,,,,
Los Angeles County Sheriffs Steven C Owen,,,,,,
Los Angeles County Vietnam,,,,,,
Los Angeles Firefighter Kelly Wong,,,,,,
Los Angeles Police Ian J Campbell,,,,,,
Los Angeles Police Steven Gajda,,,,,,
Louis J Papan,,,,,,
Louis Zamperini,motivational speaker,male,,1917-01-26,2014-07-02,https://en.wikipedia.org/wiki/Louis_Zamperini
Luther Burbank,horticulturist,male,,1849-03-07,1926-04-11,https://en.wikipedia.org/wiki/Luther_Burbank
Luther E Gibson,,,,,,
Marin County,,,,,,"https://en.wikipedia.org/wiki/Marin_County,_California"
Marine Corporal Christopher D Leon,,,,,,
Mark A White,researcher,male,,,,
Mark Ratledge,,,,,,
Martin A Matich,,,,,,
Martin L Ganz,,,,,,
Martin Luther King Jr,pastor,male,African Americans,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Matthew Patrick Manoukian,,,,,,
Matthew Slostringer Frank,,,,,,
Mayor Bob Zirbes,,,,,,
Mayor Dick Dewees,,,,,,
Mayor Jack Snyder,,,,,,
Mayor James Thalman And Mayor Michael Wickman,,,,,,
Medal Of,,,,,,https://en.wikipedia.org/wiki/Medal_of_Honor
Medal Of Recipient Larry Stanley Pierce,,,,,,
Michael Crain,,male,,1974-02-22,,https://en.wikipedia.org/wiki/Michael_Crain
Michael J Burns,researcher,male,,,,
Michael Mike Jason Katherman,,,,,,
Military Intelligence Service,,,,,,https://en.wikipedia.org/wiki/Military_Intelligence_Service_(United_States)
Military Servicewomens,,,,,,
Milton La Malfa,,,,,,
Modesto Police Leo Volk Jr And Modesto Police Steve May,,,,,,
Mono Lake Basin Road,,,,,,
Moreno Valley,,,,,,"https://en.wikipedia.org/wiki/Moreno_Valley,_California"
Mother Lode,,,,,,https://en.wikipedia.org/wiki/Mother_Lode_(1982_film)
Muir Woods Toll Road,,,,,,
Natalie Corona,writer,female,,1898-10-30,1985-10-00,
Nathan Shapell,businessperson,male,,1922-03-07,2007-03-11,https://en.wikipedia.org/wiki/Nathan_Shapell
National Purple Heart Trail,,,,,,
Nels Dan Niemi,,,,,,
Nicholas Vella,rugby league player,,,,,
Norman Y Mineta,,,,,,
Northern Yosemite,,,,,,
Northsouth Blue Star,,,,,,
Ocean Beach,,,,,,"https://en.wikipedia.org/wiki/Ocean_Beach,_San_Diego"
Oceanside Police Daniel S Bessant,,,,,,
Oceanside Police Tony Zeppetella,,,,,,
Of Foreign Wars Of The United States,,,,,,
Ohlone Costanoan Esselen,,,,,,
Ohlone Kallentaruk,,,,,,
Orange County,,,,,,"https://en.wikipedia.org/wiki/Orange_County,_California"
Orange County Korean War,,,,,,
Ort J Lofthus,,,,,,
Oscar Rios,researcher,,,,,
Pacific Coast,,,,,,https://en.wikipedia.org/wiki/West_Coast_of_the_United_States
Pasadena Police Agent Richard Morris,,,,,,
Patricia Ann Weston,,female,,,,
Paul H Pino,,,,,,
Paul Johnson,journalist,male,,1928-11-02,2023-01-12,https://en.wikipedia.org/wiki/Paul_Johnson_(writer)
Paul Vincent Rotondaro,,,,,,
Pearl Harbor,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor
Pearl Harbor Survivors,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor_Survivors_Association
Pepe Petersen,,,,,,
Pfc George Howell,,,,,,
Police Daniel T Fraembs,,,,,,
Police Jose Gil Vega And Police Lesley Zerebny,,,,,,
Police Richard Perkins,,,,,,
Police Scott Lunger,,,,,,
Police Tyler Ty Lenehan,,,,,,
Pomona Police Greggory Casillas,,,,,,
Pomona Police Shaun Diamond,,,,,,
Post No 1747 Of Foreign Wars Of The United States,,,,,,
President Barack H Obama,,,,,,
Probation Irene B Rios,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart
Quentin L Kopp,,,,,,
R Kirk Lindsey,,,,,,
Ralph Fertig Bicyclepedestrian Path,,,,,,
Ramon Ojeda,politician,male,,1943-01-01,2021-01-01,
Randy Bolt,,,,,,
Ranger Patricia M Scully,,,,,,
Ray E Johnson Expressway,,,,,,
Redondo Beach,,,,,,"https://en.wikipedia.org/wiki/Redondo_Beach,_California"
Ricardo A Crocker,,,,,,
Richard Dick Dickerson,,,,,,
Richard Dick Noles,,,,,,
Richard Hyche,,,,,,
Richard T Steed,,,,,,
Rick Charles Cromwell,,,,,,
Rim Of The World,,,,,,
Ritchie Valens,singer,male,,1941-05-13,1959-02-03,https://en.wikipedia.org/wiki/Ritchie_Valens
Riverside County Sheriff Eric Andrew Thach,,,,,,
Robert And Pat Nimmo,,,,,,
Robert Bob Thompson,,,,,,
Robert Joe Mata And Roberto C Sanchez,,,,,,
Robert Jones,politician,male,,1950-09-26,2007-04-16,https://en.wikipedia.org/wiki/Robert_Jones_(Conservative_politician)
Robert Louis Stevensons Historic Trail To Silverado,,,,,,
Robert M Jackson,researcher,male,,,,
Robert Scott Johnson,,,,,,
Robert T Monagan,,,,,,
Roberto Bobby Salcedo,,,,,,
Ronald Packard Parkway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_78
Ronald Reagan,television actor,male,white people,1911-02-06,2004-06-05,https://en.wikipedia.org/wiki/Ronald_Reagan
Ronald Ron Lee Helus,,,,,,
Rosa Parks,,,,,,
Roy Wilson,judge,male,,1903-00-00,1982-04-12,
Ruben Salazar,journalist,male,,1928-03-03,1970-08-29,https://en.wikipedia.org/wiki/Ruben_Salazar
Rudolph B Davila,,,,,,
Russell M Miller Sr,,,,,,
Ryan Stringer,,,,,,
Sam Helwer,,,,,,
Samuel Sanchez,sport cyclist,male,,1978-02-05,,https://en.wikipedia.org/wiki/Samuel_S%C3%A1nchez
San Bernardino,,,,,,"https://en.wikipedia.org/wiki/San_Bernardino,_California"
San Diego,,,,,,https://en.wikipedia.org/wiki/San_Diego
San Gabriel River,,,,,,https://en.wikipedia.org/wiki/San_Gabriel_River_(California)
San Jose Police Michael Johnson,,,,,,
San Luis Rey Mission Expressway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_76
Santa Ana,,,,,,"https://en.wikipedia.org/wiki/Santa_Ana,_El_Salvador"
Santa Monica,,,,,,"https://en.wikipedia.org/wiki/Santa_Monica,_California"
Santa Paula,,,,,,"https://en.wikipedia.org/wiki/Santa_Paula,_California"
Screaming Eagles,,,,,,https://en.wikipedia.org/wiki/101st_Airborne_Division
Sears Point Toll Road,,,,,,
Semper Fi,,,,,,https://en.wikipedia.org/wiki/Semper_Fi_(video_game)
Senator Chuck Poochigian,,,,,,
Senator Daniel E Boatwright,,,,,,
Senator David E Cogdill Sr,,,,,,
Senator David G Kelley,,,,,,
Senator Henry J Mello,,,,,,
Senator Jenny Oropeza,,,,,,
Senator Jim Costa,,,,,,
Senator Paul J Lunardi,,,,,,
Senator Sharon Runner,,,,,,
Senior Master John James Paoletti,,,,,,
Sequoiakings Canyon,,,,,,
Shawn Baker,basketball player,male,,,,
Sheriff Brian Ish Ishmael,,,,,,
Sheriff Danny P Oliver,,,,,,
Sheriff Dennis E Phelps,,,,,,
Sheriff Dennis Wallace,,,,,,
Sheriff Erik Jon Telen,,,,,,
Sheriff Jack Hopkins,,,,,,
Sheriff Joel B Wahlenmaier,,,,,,
Sheriff Merrit W Deeds,,,,,,
Sheriff Ricky Del Fiorentino,,,,,,
Sheriff Robert Bob Paris Jr,,,,,,
Sheriff Robert Bobby French,,,,,,
Sheriff Robert Rumfelt,,,,,,
Sheriff Sandra Powelllarson,,,,,,
Sheriff Scott Ballantyne And Sheriff Pilot James Chavez,,,,,,
Sheriff Stephen Sorensen,,,,,,
Sheriff Yevhen Eugene Kostiuchenko,,,,,,
Sheriffs Deputies Ronald Wayne Ives And Daniel Jess Lobo Jr,,,,,,
Sig Sanchez,,,,,,
Signal Hill Police Anthony Tony Giniewicz,,,,,,
Simi Valleysan Fernando Valley,,,,,,
Sixto Maldonado Jr,,,,,,
Skyline Boulevard,,,,,,https://en.wikipedia.org/wiki/California_State_Route_35
Skyway Unconstructed,,,,,,
Solano County Sheriff Hale Humphrey,,,,,,
Soledad State Prison Correctional Officers,,,,,,
Sonny Bono,actor,male,,1935-02-16,1998-01-05,https://en.wikipedia.org/wiki/Sonny_Bono
Sonoma County,,,,,,"https://en.wikipedia.org/wiki/Sonoma_County,_California"
Sonora And Mono Wagon Road,,,,,,
South Bay,,,,,,https://en.wikipedia.org/wiki/Willapa_Bay
Southern California Native American,,,,,,
Southern Yosemite,,,,,,
Special Agent Richard Rick K Oules,,,,,,
Special Frank Hamilton,,,,,,
Specialist Manuel Joaquin Holguin,,,,,,
Staff Ricardo Ricky Barraza,,,,,,
Staff Salvador J Lara Staff Ysmael R Villegas And Jesus S Duran,,,,,,
Stan Statham,politician,male,,1939-01-01,2020-07-30,https://en.wikipedia.org/wiki/Stan_Statham
Stanley L Van Vleck,,,,,,
Stephan Gene Gray,,,,,,
Stephanie Marie Frazier,,,,,,
Stephen P Teale,,,,,,
Stephen Palmer Sr,,,,,,
Steve Faris,,,,,,
Steven Lindblom,,,,,,
Stone Turnpike,,,,,,
Ted Williams,military officer,male,,1918-08-30,2002-07-05,https://en.wikipedia.org/wiki/Ted_Williams
Temecula Valley,,,,,,https://en.wikipedia.org/wiki/Temecula_Valley
Thomas J Cosgrove,,,,,,
Tinloy Street,,,,,,
Tioga Road,,,,,,
Tom Seaver,baseball player,male,,1944-11-17,2020-08-31,https://en.wikipedia.org/wiki/Tom_Seaver
Tommy Lasorda,baseball player,male,,1927-09-22,2021-01-07,https://en.wikipedia.org/wiki/Tommy_Lasorda
Tommy Scott,basketball coach,male,,1907-10-09,1962-06-11,https://en.wikipedia.org/wiki/Tommy_Scott_(coach)
Tony Gwynn,baseball player,male,,1960-05-09,2014-06-16,https://en.wikipedia.org/wiki/Tony_Gwynn
Trinity Scenic Byway,,,,,,
Tuolumne County Vietnam,,,,,,
Tuskegee Airmen,,,,,,https://en.wikipedia.org/wiki/Tuskegee_Airmen
Twentynine Palms,,,,,,"https://en.wikipedia.org/wiki/Twentynine_Palms,_California"
United States Army Javier Sanchez,,,,,,
United States Army Private First Class Conrado D Javier,,,,,,
United States Army Specialist Ricardo Cerros Jr,,,,,,
United States Army Specialist Vilmar Galarza Hernandez,,,,,,
United States Army Warrant 2 Edward Balli,,,,,,
United States Forest Service Firefighter Brent Michael Witham,,,,,,
United States Navy Lientenant Commander Otis Vincent Tolbert,,,,,,
Us Army Sp4 Dwayne M Patterson,,,,,,
Us Submarine Of Wwii,,,,,,
Vallejo Police James Capoot,,,,,,
Valley Of The Moon Scenic,,,,,,
Ventura County Fire Engineer Ryan Osler,,,,,,
Ventura County Sheriff Peter Aguirre Jr,,,,,,
Ventura County Vietnam,,,,,,
Ventura Extension,,,,,,
Vernon L Sturgeon,,,,,,
Vernon P Valenzuela,,,,,,
Vic Fazio,politician,male,,1942-10-11,2022-03-16,https://en.wikipedia.org/wiki/Vic_Fazio
Victor V Veysey Expressway,,,,,,
Viet Dzung Human Rights,,,,,,
Wabash Boulevard,,,,,,
Warren Boulevard,,,,,,
West Covina Police Kenneth Wrede,,,,,,
West Side,,,,,,https://en.wikipedia.org/wiki/Cape_Town
West Valley,,,,,,"https://en.wikipedia.org/wiki/West_Valley_City,_Utah"
Westminster Police Steven L Phillips,,,,,,
Willard F Libby,,,,,,
Willard H Murray,,,,,,
William Bill Lehn,,,,,,
William Byron Rumford,pharmacist,male,,1908-02-02,1986-06-12,https://en.wikipedia.org/wiki/William_Byron_Rumford
William Elton Brownie Brown,,,,,,
William H Lancaster,,,,,,
William T Bagley,,,,,,
William Z Hegy,,,,,,
Willliam Alexander Leidesdorff Jr,,,,,,
Yolo And Lake,,,,,,
