ROUTE,ROUTESIGN,ALIAS,DESCRIPTIO,COUNTY,CITY,route_clean
021B,SH,N POWERS BLVD,MINORSTR (021B148120BR) UNNAMED DRAINAGE,El Paso Co,,SH-21
021B,SH,N POWERS BLVD,RAMP ON (FROM HWY 24G WB) NB,El Paso Co,,SH-21
036B,U.S.,N ST VRAIN DR,RD SW (CO RD 2G) (CHEROKEE LOOP),Larimer Co,,US-36
287A,U.S.,S MAIN ST,RD E (MEMORIAL DRIVE),Prowers Co,Lamar,US-287
021A,SH,S POWERS BLVD,,El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,RAMP ON - (FROM US 024G WB TO US 021B NB RAMP C) EXIT 310,El Paso Co,Colorado Springs,SH-21
021A,SH,S POWERS BLVD,RD E AND W (ASTROZON BLVD),El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,MILEPOST 142,El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,,El Paso Co,Colorado Springs,SH-21
021A,SH,S POWERS BLVD,MINORSTR (021A138380BR) UNNAMED DRAINAGE,El Paso Co,Colorado Springs,SH-21
021A,SH,S POWERS BLVD,RD W (TRIPLE CROWN WAY),El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,SIGN BRIDGE STR (SIGN-I-18-BJ) POSTED SIGNAGE,El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,SIGN BRIDGE STR (SIGN-I-18-BP) - 0024G RAMP TO WB 24,El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,LOOP RAMP ON (FROM U.S. 024G WB) SB,El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,RAMP OFF (EXIT 141 - FROM US 021G SB TO PLATTE AVE RAMP D) SB,El Paso Co,Colorado Springs,SH-21
021B,SH,S POWERS BLVD,RD E (CO RD 1702),El Paso Co,Colorado Springs,SH-21
