State,Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Michigan,PFC Brett Witteveen Memorial Highway,,,,,,
Michigan,Marine Lance Corporal Steven J Szymanski Memorial Highway,,,,,,
Michigan,Cpl Casey P Zylman Memorial Highway,,,,,,
Michigan,Deputy Gate Keeper George W Haight Memorial Highway,,,,,,
Michigan,SPC Holly McGeogh Memorial Highway,,,,,,
Michigan,Ensign Francis Flaherty Medal of Honor Recipient Memorial Highway,,,,,,
Michigan,Sergeant Matthew R Soper Memorial Highway Memorial Highway,,,,,,
Michigan,Lance Corporal Justin Ellsworth Memorial Highway,,,,,,
Michigan,Staff Sergeant Eugene H. E. Alex Memorial Highway,,,,,,
Michigan,Aretha L Franklin Memorial Highway,,,,,,
Michigan,Trooper Rodger M Adams Memorial Highway,,,,,,
Michigan,Michigan Desert Storm Veterans Memorial Highway,,,,,,
Michigan,Deputy Ernest W. Heikkila Memorial Highway,,,,,,
Michigan,Patrolman Bobby Lynn Williams Memorial Highway,,,,,,
Michigan,Sergeant Kristopher J. Gould Memorial Bridge,,,,,,
Michigan,"""""""Trooper James R. DeLoach and Trooper Steven J. Niewiek Memorial Highway""""""",,,,,,
Michigan,"""""""Army Specialist Deangelo Snow Memorial Highway""""""",,,,,,
Michigan,"""""""Officer Jessica Nagle-Wilson Memorial Highway"""".""",,,,,,
Michigan,"""""""Sergeant Ryan J. Proxmire Memorial Highway.""""""",,,,,,
Michigan,Trooper Caleb Starr Memorial Highway,,,,,,
Michigan,Kevin D. White Memorial Highway,,,,,,
Michigan,Firefighter Coleman A. Tate Memorial Highway,,,,,,
Michigan,Veterans' Memorial Highway,,,,,,
Michigan,Senator Tom Casperson Memorial Bridge,,,,,,
Michigan,Julie Plawecki Memorial Highway,,,,,,
Michigan,Army Sergeant First Class Michael Cathcart Memorial Highway,,,,,,
Michigan,Bataan and Corregidor Veterans Memorial Highway,,,,,,
Michigan,BEN LAUREN AND DON RILING MEMORIAL HIGHWAY,,,,,,
Michigan,Darryl M. Rantanen Memorial Highway,,,,,,
Michigan,Officer Mason Samborski Memorial Highway,,,,,,
Michigan,Officer Scott Flahive Memorial Highway,,,,,,
Michigan,PFC Kenneth Coates Memorial Interchange,,,,,,
Michigan,Trooper Manuel H. Fields Memorial Highway,,,,,,
Michigan,Samuel R. Costello Memorial Highway,,,,,,
Michigan,"""""""Peter A. Pettalia Memorial Highway""""""",,,,,,
Michigan,"""""""Peter C. Lemon Highway""""""",,,,,,
Michigan,UAW Sitdown Strike Memorial Highway,,,,,,
Michigan,Disabled American Veterans Memorial Highway,,,,,,
Michigan,Disabled American Veterans Highway,,,,,,
Michigan,Barry Lyn Hause Memorial Highway,,,,,,
Michigan,Captain Joseph M. Liedel Memorial Highway,,,,,,
Michigan,Officer Leroy Imus Memorial Highway,,,,,,
Michigan,PFC Ronald James Fitch Memorial Highway,,,,,,
Michigan,Private Wesley Vietti Karna Memorial Highway,,,,,,
Michigan,Senior Chief Petty Officer Jason P. May Memorial Highway,,,,,,
